q      	sum          	Hg-I_2       	H_1-I_2      	I_2-I_2      	I_1-I_2      	O-Hg         	O-I_1        	H_2-Hg       	C-I_1        	H_1-I_1      	H_1-H_1      	C-C          	O-O          	H_2-H_2      	C-H_2        	O-I_2        	C-H_1        	C-I_2        	Hg-I_1       	O-H_2        	Hg-Hg        	H_1-H_2      	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	I_1-I_1      	H_2-I_2      	C-Hg        
0.005 	33079.4     	7110.08     	-229.491    	2809.25     	4712.95     	2516.17     	2615.96     	-1.76197    	288.875     	1379.51     	-2598.77    	847.819     	3777.29     	345.563     	-690.364    	-396.803    	-600.811    	330.551     	7110.08     	-493.88     	6394.39     	-168.812    	-1.03233    	-1713.77    	-4505.47    	1446.56     	2809.25     	71.1192     	-85.0417    
0.015 	33165.3     	7108.18     	-229.139    	2809.19     	4708.12     	2452.96     	2559.04     	-2.54044    	279.639     	1349.98     	-2588.99    	902.853     	3828.84     	346.114     	-676.725    	-397.553    	-584.799    	319.866     	7108.18     	-483.532    	6394.31     	-165.564    	-1.62092    	-1671.95    	-4399.92    	1411.16     	2809.19     	69.1401     	-89.0789    
0.025 	33334.3     	7104.39     	-228.455    	2809.07     	4698.48     	2328.73     	2447.08     	-4.0972     	261.403     	1291.9      	-2569.71    	1011.05     	3930.42     	347.2       	-649.87     	-399.072    	-553.241    	298.791     	7104.39     	-463.145    	6394.13     	-159.155    	-2.79115    	-1589.54    	-4192.42    	1341.62     	2809.07     	65.2348     	-97.1589    
0.035 	33580.6     	7098.69     	-227.481    	2808.89     	4684.04     	2147.77     	2283.82     	-6.43143    	234.629     	1207.25     	-2541.5     	1168.75     	4079.05     	348.789     	-610.627    	-401.404    	-507.052    	267.905     	7098.69     	-433.322    	6393.86     	-149.763    	-4.52914    	-1468.94    	-3890.01    	1240.42     	2808.89     	59.507      	-109.29     
0.045 	33896.1     	7091.11     	-226.274    	2808.64     	4664.82     	1916.3      	2074.63     	-9.54073    	199.991     	1098.85     	-2505.14    	1370.64     	4270.42     	350.837     	-560.202    	-404.602    	-447.564    	228.046     	7091.11     	-394.942    	6393.51     	-137.642    	-6.8142     	-1313.61    	-3502.86    	1111.14     	2808.64     	52.1079     	-125.476    
0.055 	34270.5     	7081.64     	-224.903    	2808.33     	4640.87     	1642.2      	1826.38     	-13.4198    	158.355     	970.312     	-2461.69    	1610.01     	4499.02     	353.286     	-500.124    	-408.73     	-376.475    	180.285     	7081.64     	-349.125    	6393.06     	-123.119    	-9.61895    	-1127.98    	-3043.91    	958.315     	2808.33     	43.2303     	-145.709    
0.065 	34691.4     	7070.28     	-223.45     	2807.96     	4612.23     	1334.69     	1547.11     	-18.059     	110.746     	825.853     	-2412.33    	1878.98     	4758.37     	356.068     	-432.196    	-413.852    	-295.791    	125.885     	7070.28     	-297.19     	6392.53     	-106.581    	-12.9096    	-917.279    	-2528.29    	787.24      	2807.96     	33.1018     	-169.959    
0.075 	35145.5     	7057.05     	-221.996    	2807.54     	4578.96     	1003.94     	1245.72     	-23.4422    	58.32       	670.156     	-2358.42    	2168.85     	5041.27     	359.108     	-358.418    	-420.026    	-207.748    	66.2523     	7057.05     	-240.61     	6391.91     	-88.464     	-16.646     	-687.294    	-1972.69    	603.756     	2807.54     	21.9772     	-198.162    
0.085 	35618.4     	7041.95     	-220.626    	2807.05     	4541.11     	660.693     	931.664     	-29.5455    	2.32305     	508.172     	-2301.38    	2470.45     	5340.06     	362.323     	-280.918    	-427.29     	-114.74     	2.8895      	7041.95     	-180.955    	6391.2      	-69.2359    	-20.7825    	-444.205    	-1394.75    	414.005     	2807.05     	10.1292     	-230.208    
0.095 	36095.6     	7024.98     	-219.414    	2806.49     	4498.76     	315.791     	614.555     	-36.3351    	-55.9465    	344.932     	-2242.66    	2774.49     	5646.87     	365.63      	-201.87     	-435.658    	-19.229     	-62.6596    	7024.98     	-119.841    	6390.41     	-49.3832    	-25.2678    	-194.336    	-812.324    	224.177     	2806.49     	-2.16096    	-265.93     
0.105 	36562.8     	7006.16     	-218.426    	2805.88     	4452        	-20.228     	303.802     	-43.7662    	-115.179    	185.353     	-2183.69    	3071.95     	5953.97     	368.944     	-123.414    	-445.112    	76.3355     	-128.863    	7006.16     	-58.8687    	6389.52     	-29.3951    	-30.046     	56.069      	-242.756    	40.2626     	2805.88     	-14.6125    	-305.095    
0.115 	37006.8     	6985.5      	-217.711    	2805.21     	4400.89     	-337.546    	8.26552     	-51.7817    	-174.095    	34.0555     	-2125.84    	3354.4      	6253.98     	372.185     	-47.583     	-455.596    	169.601     	-194.251    	6985.5      	0.428572    	6388.55     	-9.74815    	-35.0571    	301.063     	297.733     	-132.186    	2805.21     	-26.9545    	-347.398    
