q      	cage        
0.005 	-3513.83    
0.015 	-3448.01    
0.025 	-3318.66    
0.035 	-3130.29    
0.045 	-2889.38    
0.055 	-2604.18    
0.065 	-2284.31    
0.075 	-1940.38    
0.085 	-1583.56    
0.095 	-1225.11    
0.105 	-875.928    
0.115 	-546.155    
0.125 	-244.754    
0.135 	20.7901     
0.145 	244.729     
0.155 	423.217     
0.165 	554.394     
0.175 	638.375     
0.185 	677.156     
0.195 	674.438     
0.205 	635.388     
0.215 	566.34      
0.225 	474.455     
0.235 	367.369     
0.245 	252.824     
0.255 	138.326     
0.265 	30.818      
0.275 	-63.5901    
0.285 	-139.845    
0.295 	-194.109    
0.305 	-223.846    
0.315 	-227.848    
0.325 	-206.184    
0.335 	-160.098    
0.345 	-91.8504    
0.355 	-4.51621    
0.365 	98.2409     
0.375 	212.412     
0.385 	333.889     
0.395 	458.693     
0.405 	583.189     
0.415 	704.257     
0.425 	819.43      
0.435 	926.979     
0.445 	1025.96     
0.455 	1116.19     
0.465 	1198.22     
0.475 	1273.22     
0.485 	1342.89     
0.495 	1409.25     
0.505 	1474.58     
0.515 	1541.16     
0.525 	1611.21     
0.535 	1686.69     
0.545 	1769.21     
0.555 	1859.95     
0.565 	1959.61     
0.575 	2068.41     
0.585 	2186.06     
0.595 	2311.86     
0.605 	2444.75     
0.615 	2583.4      
0.625 	2726.33     
0.635 	2872        
0.645 	3018.94     
0.655 	3165.85     
0.665 	3311.63     
0.675 	3455.53     
0.685 	3597.11     
0.695 	3736.28     
0.705 	3873.26     
0.715 	4008.6      
0.725 	4143.05     
0.735 	4277.49     
0.745 	4412.89     
0.755 	4550.17     
0.765 	4690.13     
0.775 	4833.36     
0.785 	4980.2      
0.795 	5130.65     
0.805 	5284.4      
0.815 	5440.81     
0.825 	5598.93     
0.835 	5757.55     
0.845 	5915.31     
0.855 	6070.76     
0.865 	6222.46     
0.875 	6369.08     
0.885 	6509.53     
0.895 	6643.01     
0.905 	6769.14     
0.915 	6887.96     
0.925 	6999.99     
0.935 	7106.23     
0.945 	7208.13     
0.955 	7307.54     
0.965 	7406.63     
0.975 	7507.78     
0.985 	7613.45     
0.995 	7726.1      
1.005 	7848.01     
1.015 	7981.17     
1.025 	8127.16     
1.035 	8287.08     
1.045 	8461.42     
1.055 	8650.08     
1.065 	8852.3      
1.075 	9066.74     
1.085 	9291.46     
1.095 	9524.05     
1.105 	9761.73     
1.115 	10001.4     
1.125 	10240       
1.135 	10474.3     
1.145 	10701.5     
1.155 	10918.7     
1.165 	11123.9     
1.175 	11315.3     
1.185 	11491.9     
1.195 	11653.1     
1.205 	11799.3     
1.215 	11931.2     
1.225 	12050.2     
1.235 	12158.3     
1.245 	12257.8     
1.255 	12351.4     
1.265 	12441.7     
1.275 	12531.7     
1.285 	12624.2     
1.295 	12721.6     
1.305 	12826.2     
1.315 	12940.1     
1.325 	13064.7     
1.335 	13201.2     
1.345 	13350.1     
1.355 	13511.9     
1.365 	13686.5     
1.375 	13873.5     
1.385 	14072.5     
1.395 	14282.8     
1.405 	14503.8     
1.415 	14734.9     
1.425 	14975.7     
1.435 	15225.9     
1.445 	15485.4     
1.455 	15754.3     
1.465 	16032.9     
1.475 	16321.7     
1.485 	16621.1     
1.495 	16931.7     
1.505 	17253.7     
1.515 	17587.5     
1.525 	17932.6     
1.535 	18288.5     
1.545 	18654       
1.555 	19027.2     
1.565 	19405.8     
1.575 	19786.5     
1.585 	20165.6     
1.595 	20538.6     
1.605 	20900.6     
1.615 	21246.2     
1.625 	21569.5     
1.635 	21865       
1.645 	22126.7     
1.655 	22349       
1.665 	22526.9     
1.675 	22655.8     
1.685 	22731.8     
1.695 	22752       
1.705 	22714.6     
1.715 	22618.5     
1.725 	22464.2     
1.735 	22252.9     
1.745 	21987.2     
1.755 	21670.4     
1.765 	21306.8     
1.775 	20901.5     
1.785 	20460.1     
1.795 	19988.7     
1.805 	19493.4     
1.815 	18980.4     
1.825 	18456       
1.835 	17925.6     
1.845 	17394.7     
1.855 	16867.7     
1.865 	16348.7     
1.875 	15840.7     
1.885 	15346.3     
1.895 	14866.9     
1.905 	14403.4     
1.915 	13956.1     
1.925 	13524.5     
1.935 	13107.8     
1.945 	12704.7     
1.955 	12313.8     
1.965 	11933.6     
1.975 	11562.4     
1.985 	11198.8     
1.995 	10841.4     
2.005 	10489.3     
2.015 	10141.8     
2.025 	9798.39     
2.035 	9459.03     
2.045 	9123.97     
2.055 	8793.7      
2.065 	8468.93     
2.075 	8150.53     
2.085 	7839.45     
2.095 	7536.65     
2.105 	7243.02     
2.115 	6959.31     
2.125 	6686.1      
2.135 	6423.74     
2.145 	6172.33     
2.155 	5931.67     
2.165 	5701.31     
2.175 	5480.55     
2.185 	5268.44     
2.195 	5063.88     
2.205 	4865.61     
2.215 	4672.32     
2.225 	4482.66     
2.235 	4295.33     
2.245 	4109.12     
2.255 	3922.99     
2.265 	3736.04     
2.275 	3547.63     
2.285 	3357.3      
2.295 	3164.85     
2.305 	2970.32     
2.315 	2773.94     
2.325 	2576.13     
2.335 	2377.44     
2.345 	2178.57     
2.355 	1980.23     
2.365 	1783.19     
2.375 	1588.19     
2.385 	1395.88     
2.395 	1206.85     
2.405 	1021.56     
2.415 	840.303     
2.425 	663.264     
2.435 	490.457     
2.445 	321.763     
2.455 	156.939     
2.465 	-4.36151    
2.475 	-162.559    
2.485 	-318.118    
2.495 	-471.52     
2.505 	-623.229    
2.515 	-773.665    
2.525 	-923.18     
2.535 	-1072.04    
2.545 	-1220.39    
2.555 	-1368.3     
2.565 	-1515.7     
2.575 	-1662.43    
2.585 	-1808.2     
2.595 	-1952.68    
2.605 	-2095.46    
2.615 	-2236.07    
2.625 	-2374.05    
2.635 	-2508.92    
2.645 	-2640.22    
2.655 	-2767.55    
2.665 	-2890.55    
2.675 	-3008.93    
2.685 	-3122.49    
2.695 	-3231.09    
2.705 	-3334.66    
2.715 	-3433.23    
2.725 	-3526.85    
2.735 	-3615.65    
2.745 	-3699.79    
2.755 	-3779.45    
2.765 	-3854.79    
2.775 	-3926.01    
2.785 	-3993.25    
2.795 	-4056.64    
2.805 	-4116.27    
2.815 	-4172.2     
2.825 	-4224.43    
2.835 	-4272.94    
2.845 	-4317.65    
2.855 	-4358.48    
2.865 	-4395.32    
2.875 	-4428.05    
2.885 	-4456.56    
2.895 	-4480.74    
2.905 	-4500.53    
2.915 	-4515.86    
2.925 	-4526.72    
2.935 	-4533.15    
2.945 	-4535.2     
2.955 	-4533       
2.965 	-4526.68    
2.975 	-4516.43    
2.985 	-4502.46    
2.995 	-4484.99    
3.005 	-4464.25    
3.015 	-4440.48    
3.025 	-4413.89    
3.035 	-4384.71    
3.045 	-4353.11    
3.055 	-4319.25    
3.065 	-4283.24    
3.075 	-4245.18    
3.085 	-4205.12    
3.095 	-4163.08    
3.105 	-4119.07    
3.115 	-4073.04    
3.125 	-4024.96    
3.135 	-3974.77    
3.145 	-3922.44    
3.155 	-3867.91    
3.165 	-3811.15    
3.175 	-3752.15    
3.185 	-3690.92    
3.195 	-3627.52    
3.205 	-3562       
3.215 	-3494.47    
3.225 	-3425.06    
3.235 	-3353.93    
3.245 	-3281.26    
3.255 	-3207.24    
3.265 	-3132.09    
3.275 	-3056.04    
3.285 	-2979.29    
3.295 	-2902.08    
3.305 	-2824.61    
3.315 	-2747.09    
3.325 	-2669.68    
3.335 	-2592.56    
3.345 	-2515.87    
3.355 	-2439.75    
3.365 	-2364.28    
3.375 	-2289.56    
3.385 	-2215.66    
3.395 	-2142.64    
3.405 	-2070.54    
3.415 	-1999.41    
3.425 	-1929.27    
3.435 	-1860.16    
3.445 	-1792.11    
3.455 	-1725.14    
3.465 	-1659.28    
3.475 	-1594.58    
3.485 	-1531.08    
3.495 	-1468.8     
3.505 	-1407.79    
3.515 	-1348.1     
3.525 	-1289.75    
3.535 	-1232.8     
3.545 	-1177.28    
3.555 	-1123.21    
3.565 	-1070.63    
3.575 	-1019.56    
3.585 	-970.002    
3.595 	-921.984    
3.605 	-875.509    
3.615 	-830.581    
3.625 	-787.204    
3.635 	-745.378    
3.645 	-705.106    
3.655 	-666.388    
3.665 	-629.229    
3.675 	-593.633    
3.685 	-559.606    
3.695 	-527.157    
3.705 	-496.291    
3.715 	-467.017    
3.725 	-439.338    
3.735 	-413.255    
3.745 	-388.761    
3.755 	-365.843    
3.765 	-344.479    
3.775 	-324.637    
3.785 	-306.27     
3.795 	-289.325    
3.805 	-273.734    
3.815 	-259.418    
3.825 	-246.291    
3.835 	-234.258    
3.845 	-223.22     
3.855 	-213.076    
3.865 	-203.728    
3.875 	-195.082    
3.885 	-187.051    
3.895 	-179.563    
3.905 	-172.558    
3.915 	-165.996    
3.925 	-159.853    
3.935 	-154.127    
3.945 	-148.834    
3.955 	-144.013    
3.965 	-139.716    
3.975 	-136.013    
3.985 	-132.985    
3.995 	-130.722    
4.005 	-129.315    
4.015 	-128.856    
4.025 	-129.43     
4.035 	-131.111    
4.045 	-133.959    
4.055 	-138.014    
4.065 	-143.294    
4.075 	-149.793    
4.085 	-157.48     
4.095 	-166.298    
4.105 	-176.164    
4.115 	-186.972    
4.125 	-198.597    
4.135 	-210.897    
4.145 	-223.717    
4.155 	-236.895    
4.165 	-250.268    
4.175 	-263.676    
4.185 	-276.966    
4.195 	-289.999    
4.205 	-302.655    
4.215 	-314.831    
4.225 	-326.452    
4.235 	-337.465    
4.245 	-347.844    
4.255 	-357.586    
4.265 	-366.714    
4.275 	-375.27     
4.285 	-383.314    
4.295 	-390.92     
4.305 	-398.168    
4.315 	-405.146    
4.325 	-411.939    
4.335 	-418.625    
4.345 	-425.275    
4.355 	-431.943    
4.365 	-438.669    
4.375 	-445.471    
4.385 	-452.348    
4.395 	-459.276    
4.405 	-466.214    
4.415 	-473.099    
4.425 	-479.852    
4.435 	-486.381    
4.445 	-492.585    
4.455 	-498.355    
4.465 	-503.584    
4.475 	-508.164    
4.485 	-511.998    
4.495 	-514.998    
4.505 	-517.09     
4.515 	-518.216    
4.525 	-518.34     
4.535 	-517.441    
4.545 	-515.522    
4.555 	-512.602    
4.565 	-508.719    
4.575 	-503.927    
4.585 	-498.29     
4.595 	-491.883    
4.605 	-484.787    
4.615 	-477.085    
4.625 	-468.857    
4.635 	-460.179    
4.645 	-451.119    
4.655 	-441.733    
4.665 	-432.067    
4.675 	-422.152    
4.685 	-412.003    
4.695 	-401.623    
4.705 	-391.002    
4.715 	-380.117    
4.725 	-368.937    
4.735 	-357.422    
4.745 	-345.531    
4.755 	-333.219    
4.765 	-320.444    
4.775 	-307.17     
4.785 	-293.368    
4.795 	-279.016    
4.805 	-264.107    
4.815 	-248.644    
4.825 	-232.643    
4.835 	-216.135    
4.845 	-199.161    
4.855 	-181.772    
4.865 	-164.031    
4.875 	-146.004    
4.885 	-127.764    
4.895 	-109.386    
4.905 	-90.9417    
4.915 	-72.5014    
4.925 	-54.1292    
4.935 	-35.8815    
4.945 	-17.8058    
4.955 	0.0605575   
4.965 	17.691      
4.975 	35.0692     
4.985 	52.1892     
4.995 	69.0537     
5.005 	85.673      
5.015 	102.063     
5.025 	118.244     
5.035 	134.236     
5.045 	150.06      
5.055 	165.735     
5.065 	181.274     
5.075 	196.685     
5.085 	211.968     
5.095 	227.116     
5.105 	242.113     
5.115 	256.938     
5.125 	271.559     
5.135 	285.94      
5.145 	300.04      
5.155 	313.815     
5.165 	327.22      
5.175 	340.21      
5.185 	352.743     
5.195 	364.78      
5.205 	376.291     
5.215 	387.249     
5.225 	397.639     
5.235 	407.452     
5.245 	416.688     
5.255 	425.357     
5.265 	433.473     
5.275 	441.061     
5.285 	448.149     
5.295 	454.77      
5.305 	460.957     
5.315 	466.745     
5.325 	472.17      
5.335 	477.263     
5.345 	482.051     
5.355 	486.557     
5.365 	490.798     
5.375 	494.785     
5.385 	498.525     
5.395 	502.016     
5.405 	505.252     
5.415 	508.224     
5.425 	510.918     
5.435 	513.32      
5.445 	515.412     
5.455 	517.18      
5.465 	518.611     
5.475 	519.692     
5.485 	520.417     
5.495 	520.783     
5.505 	520.79      
5.515 	520.447     
5.525 	519.761     
5.535 	518.75      
5.545 	517.43      
5.555 	515.821     
5.565 	513.947     
5.575 	511.828     
5.585 	509.487     
5.595 	506.943     
5.605 	504.214     
5.615 	501.314     
5.625 	498.255     
5.635 	495.043     
5.645 	491.681     
5.655 	488.169     
5.665 	484.502     
5.675 	480.675     
5.685 	476.679     
5.695 	472.507     
5.705 	468.148     
5.715 	463.597     
5.725 	458.847     
5.735 	453.896     
5.745 	448.744     
5.755 	443.396     
5.765 	437.86      
5.775 	432.149     
5.785 	426.279     
5.795 	420.268     
5.805 	414.137     
5.815 	407.911     
5.825 	401.612     
5.835 	395.264     
5.845 	388.89      
5.855 	382.508     
5.865 	376.138     
5.875 	369.792     
5.885 	363.48      
5.895 	357.209     
5.905 	350.979     
5.915 	344.789     
5.925 	338.632     
5.935 	332.501     
5.945 	326.383     
5.955 	320.267     
5.965 	314.141     
5.975 	307.991     
5.985 	301.806     
5.995 	295.578     
6.005 	289.299     
6.015 	282.966     
6.025 	276.578     
6.035 	270.138     
6.045 	263.651     
6.055 	257.125     
6.065 	250.571     
6.075 	244         
6.085 	237.425     
6.095 	230.858     
6.105 	224.312     
6.115 	217.798     
6.125 	211.323     
6.135 	204.896     
6.145 	198.52      
6.155 	192.196     
6.165 	185.924     
6.175 	179.7       
6.185 	173.52      
6.195 	167.378     
6.205 	161.268     
6.215 	155.184     
6.225 	149.121     
6.235 	143.075     
6.245 	137.047     
6.255 	131.037     
6.265 	125.053     
6.275 	119.101     
6.285 	113.194     
6.295 	107.346     
6.305 	101.574     
6.315 	95.8971     
6.325 	90.3331     
6.335 	84.9014     
6.345 	79.6195     
6.355 	74.5029     
6.365 	69.5637     
6.375 	64.8099     
6.385 	60.2451     
6.395 	55.8673     
6.405 	51.6696     
6.415 	47.6393     
6.425 	43.7589     
6.435 	40.0064     
6.445 	36.356      
6.455 	32.7794     
6.465 	29.2466     
6.475 	25.7277     
6.485 	22.1937     
6.495 	18.6182     
6.505 	14.9782     
6.515 	11.2558     
6.525 	7.43862     
6.535 	3.52041     
6.545 	-0.498281   
6.555 	-4.61027    
6.565 	-8.80191    
6.575 	-13.0537    
6.585 	-17.3409    
6.595 	-21.6351    
6.605 	-25.9047    
6.615 	-30.1171    
6.625 	-34.2394    
6.635 	-38.2404    
6.645 	-42.0918    
6.655 	-45.7691    
6.665 	-49.2533    
6.675 	-52.531     
6.685 	-55.5954    
6.695 	-58.4465    
6.705 	-61.0907    
6.715 	-63.5407    
6.725 	-65.8147    
6.735 	-67.9357    
6.745 	-69.9301    
6.755 	-71.8269    
6.765 	-73.6558    
6.775 	-75.4464    
6.785 	-77.2266    
6.795 	-79.0214    
6.805 	-80.8524    
6.815 	-82.7361    
6.825 	-84.684     
6.835 	-86.7023    
6.845 	-88.7914    
6.855 	-90.9465    
6.865 	-93.1583    
6.875 	-95.4129    
6.885 	-97.6936    
6.895 	-99.9813    
6.905 	-102.256    
6.915 	-104.497    
6.925 	-106.687    
6.935 	-108.807    
6.945 	-110.844    
6.955 	-112.787    
6.965 	-114.63     
6.975 	-116.372    
6.985 	-118.014    
6.995 	-119.563    
7.005 	-121.029    
7.015 	-122.425    
7.025 	-123.766    
7.035 	-125.07     
7.045 	-126.355    
7.055 	-127.636    
7.065 	-128.93     
7.075 	-130.251    
7.085 	-131.608    
7.095 	-133.01     
7.105 	-134.46     
7.115 	-135.957    
7.125 	-137.497    
7.135 	-139.072    
7.145 	-140.671    
7.155 	-142.279    
7.165 	-143.881    
7.175 	-145.458    
