q      	H_1-I_2      	H_2-Hg       	C-I_1        	H_1-I_1      	C-I_2        	O-H_2        	H_2-I_1      	O-H_1        	O-C          	H_1-Hg       	H_2-I_2      	C-Hg        
0.005 	-229.491    	-1.76197    	288.875     	1379.51     	330.551     	-493.88     	-1.03233    	-1713.77    	-4505.47    	1446.56     	71.1192     	-85.0417    
0.015 	-229.139    	-2.54044    	279.639     	1349.98     	319.866     	-483.532    	-1.62092    	-1671.95    	-4399.92    	1411.16     	69.1401     	-89.0789    
0.025 	-228.455    	-4.0972     	261.403     	1291.9      	298.791     	-463.145    	-2.79115    	-1589.54    	-4192.42    	1341.62     	65.2348     	-97.1589    
0.035 	-227.481    	-6.43143    	234.629     	1207.25     	267.905     	-433.322    	-4.52914    	-1468.94    	-3890.01    	1240.42     	59.507      	-109.29     
0.045 	-226.274    	-9.54073    	199.991     	1098.85     	228.046     	-394.942    	-6.8142     	-1313.61    	-3502.86    	1111.14     	52.1079     	-125.476    
0.055 	-224.903    	-13.4198    	158.355     	970.312     	180.285     	-349.125    	-9.61895    	-1127.98    	-3043.91    	958.315     	43.2303     	-145.709    
0.065 	-223.45     	-18.059     	110.746     	825.853     	125.885     	-297.19     	-12.9096    	-917.279    	-2528.29    	787.24      	33.1018     	-169.959    
0.075 	-221.996    	-23.4422    	58.32       	670.156     	66.2523     	-240.61     	-16.646     	-687.294    	-1972.69    	603.756     	21.9772     	-198.162    
0.085 	-220.626    	-29.5455    	2.32305     	508.172     	2.8895      	-180.955    	-20.7825    	-444.205    	-1394.75    	414.005     	10.1292     	-230.208    
0.095 	-219.414    	-36.3351    	-55.9465    	344.932     	-62.6596    	-119.841    	-25.2678    	-194.336    	-812.324    	224.177     	-2.16096    	-265.93     
0.105 	-218.426    	-43.7662    	-115.179    	185.353     	-128.863    	-58.8687    	-30.046     	56.069      	-242.756    	40.2626     	-14.6125    	-305.095    
0.115 	-217.711    	-51.7817    	-174.095    	34.0555     	-194.251    	0.428572    	-35.0571    	301.063     	297.733     	-132.186    	-26.9545    	-347.398    
0.125 	-217.301    	-60.3114    	-231.48     	-104.81     	-257.466    	56.635      	-40.2378    	535.201     	794.674     	-288.264    	-38.9346    	-392.458    
0.135 	-217.208    	-69.2725    	-286.226    	-227.706    	-317.301    	108.498     	-45.5227    	753.718     	1235.85     	-423.9      	-50.3263    	-439.817    
0.145 	-217.423    	-78.5695    	-337.354    	-331.83     	-372.734    	154.965     	-50.8447    	952.676     	1611.71     	-535.991    	-60.9349    	-488.944    
0.155 	-217.916    	-88.0963    	-384.048    	-415.196    	-422.958    	195.212     	-56.137     	1129.07     	1915.63     	-622.501    	-70.6031    	-539.247    
0.165 	-218.64     	-97.7371    	-425.669    	-476.688    	-467.39     	228.66      	-61.3335    	1280.92     	2144.07     	-682.503    	-79.2136    	-590.08     
0.175 	-219.536    	-107.37     	-461.766    	-516.069    	-505.684    	254.987     	-66.3705    	1407.25     	2296.57     	-716.18     	-86.6909    	-640.762    
0.185 	-220.531    	-116.869    	-492.089    	-533.959    	-537.721    	274.121     	-71.1879    	1508.14     	2375.62     	-724.765    	-93.001     	-690.597    
0.195 	-221.548    	-126.107    	-516.577    	-531.773    	-563.603    	286.234     	-75.7302    	1584.61     	2386.42     	-710.448    	-98.1496    	-738.891    
