q      	H_200-H_21   	H_200-C_7    	C_100-N_2    	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	H_100-N_2    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_200-H_22   	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_8    	H_200-C_12   	C_100-C_8    	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_200-C_5    	H_100-H_17   	C_100-N_1    	H_100-H_24   	H_100-C_8    	H_200-H_15   	C_100-C_7    	C_100-H_22   	H_200-H_23   	H_200-C_11   	C_100-H_17   	H_100-C_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	H_100-N_1    	C_100-C_11   	H_100-H_16   	H_200-N_1    	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	H_200-N_2    	C_100-H_18  
0.005 	-6.72905    	-55.8377    	-413.904    	-387.504    	-7.01789    	-47.7277    	-43.4044    	-44.9194    	-21.2168    	-6.90256    	-440.592    	-41.9793    	-31.6498    	-343.986    	-34.5285    	-4.33075    	-6.84601    	-43.5817    	-38.6577    	-6.11645    	-49.0742    	-42.1007    	-335.317    	-339.955    	-54.3339    	-341.969    	-41.0876    	-46.1734    	-7.23686    	-408.236    	-5.15611    	-33.8804    	-6.47766    	-464.289    	-19.4537    	-6.07642    	-51.7244    	-56.1901    	-45.6097    	-348.771    	-34.8361    	-41.2073    	-6.35684    	-347.639    	-6.98493    	-49.7052    	-43.0893    	-44.537     	-415.444    	-6.0847     	-58.1194    	-33.1594    	-270.684    	-5.44182    	-8.27161    	-34.798     	-6.56012    	-7.21028    	-26.909     	-47.1957    	-5.10851    	-42.375     	-54.6418    	-49.9007    	-5.72586    	-281.159    	-31.3478    	-44.9021    	-6.96443    	-34.0991    	-56.954     	-41.2604    
0.015 	-6.81441    	-56.2061    	-416.424    	-389.228    	-7.09385    	-48.1595    	-43.9237    	-45.6433    	-21.9878    	-6.99379    	-441.568    	-42.4283    	-32.2819    	-345.961    	-35.178     	-4.44351    	-6.91925    	-44.063     	-39.2633    	-6.21829    	-49.5168    	-42.599     	-337.648    	-342.185    	-54.7264    	-343.895    	-41.5787    	-46.6584    	-7.32418    	-410.784    	-5.25472    	-34.5365    	-6.57379    	-464.886    	-20.2323    	-6.16614    	-52.1182    	-56.5687    	-46.1057    	-350.519    	-35.4387    	-41.7059    	-6.43729    	-349.752    	-7.06287    	-50.1013    	-43.5779    	-45.265     	-416.496    	-6.18778    	-58.659     	-33.8425    	-273.609    	-5.54291    	-8.3483     	-35.4448    	-6.64451    	-7.2973     	-27.5855    	-47.6016    	-5.21376    	-42.8854    	-55.0283    	-50.3335    	-5.82084    	-284.021    	-31.9701    	-45.4286    	-7.0528     	-34.7196    	-57.5175    	-41.8341    
0.025 	-6.98329    	-56.9365    	-421.428    	-392.651    	-7.24405    	-49.0138    	-44.9516    	-47.0771    	-23.5118    	-7.17454    	-443.513    	-43.3174    	-33.5327    	-349.867    	-36.4634    	-4.66672    	-7.06407    	-45.015     	-40.4623    	-6.41995    	-50.3945    	-43.5864    	-342.269    	-346.603    	-55.505     	-347.715    	-42.5503    	-47.619     	-7.49711    	-415.841    	-5.4498     	-35.8354    	-6.76408    	-466.078    	-21.7732    	-6.34348    	-52.898     	-57.3193    	-47.0881    	-353.987    	-36.6316    	-42.6925    	-6.59659    	-353.943    	-7.2171     	-50.8866    	-44.5449    	-46.7068    	-418.582    	-6.39182    	-59.729     	-35.1951    	-279.402    	-5.74276    	-8.50024    	-36.7253    	-6.81161    	-7.46974    	-28.9224    	-48.4062    	-5.42195    	-43.8954    	-55.7956    	-51.1919    	-6.00884    	-289.683    	-33.2018    	-46.4714    	-7.22772    	-35.9476    	-58.6348    	-42.9705    
0.035 	-7.23206    	-58.0163    	-428.839    	-397.726    	-7.4651     	-50.2721    	-46.4671    	-49.1929    	-25.7535    	-7.44135    	-446.409    	-44.6289    	-35.3757    	-355.618    	-38.358     	-4.99583    	-7.27718    	-46.4173    	-42.2312    	-6.71745    	-51.6927    	-45.0447    	-349.103    	-353.124    	-56.6568    	-353.367    	-43.9814    	-49.0367    	-7.75225    	-423.334    	-5.73709    	-37.7511    	-7.04466    	-467.866    	-24.0442    	-6.60423    	-54.0483    	-58.4288    	-48.5375    	-359.117    	-38.3906    	-44.1467    	-6.83158    	-360.144    	-7.44434    	-52.0476    	-45.9703    	-48.8341    	-421.671    	-6.69261    	-61.3115    	-37.1901    	-287.953    	-6.03674    	-8.72457    	-38.6132    	-7.05808    	-7.72447    	-30.888     	-49.5955    	-5.72853    	-45.3833    	-56.932     	-52.4613    	-6.28597    	-298.019    	-35.0177    	-48.0099    	-7.48557    	-37.7572    	-60.2869    	-44.6476    
0.045 	-7.55538    	-59.427     	-438.55     	-404.383    	-7.75201    	-51.9071    	-48.4392    	-51.9501    	-28.6609    	-7.78919    	-450.235    	-46.3369    	-37.7722    	-363.087    	-40.8224    	-5.42413    	-7.55376    	-48.2395    	-44.535     	-7.10491    	-53.3898    	-46.9473    	-358.031    	-361.628    	-58.1629    	-360.757    	-45.841     	-50.8841    	-8.08461    	-433.149    	-6.11032    	-40.2454    	-7.40983    	-470.244    	-26.998     	-6.94226    	-55.5464    	-59.8779    	-50.4256    	-365.825    	-40.6799    	-46.0381    	-7.1376     	-368.253    	-7.73978    	-53.5643    	-47.8246    	-51.6055    	-425.714    	-7.08395    	-63.3801    	-39.7879    	-299.1      	-6.41808    	-9.01708    	-41.0701    	-7.37901    	-8.05685    	-33.436     	-51.1487    	-6.12683    	-47.3171    	-58.4204    	-54.1204    	-6.64651    	-308.847    	-37.3803    	-50.014     	-7.82104    	-40.1105    	-62.4457    	-46.8334    
0.055 	-7.94635    	-61.1444    	-450.415    	-412.53     	-8.09833    	-53.8834    	-50.8278    	-55.2957    	-32.1668    	-8.21148    	-454.957    	-48.4075    	-40.6719    	-372.111    	-43.8055    	-5.94293    	-7.88756    	-50.4425    	-47.3283    	-7.57472    	-55.4576    	-49.2595    	-368.903    	-371.955    	-59.9986    	-369.762    	-48.089     	-53.1258    	-8.48769    	-445.142    	-6.56139    	-43.2686    	-7.85221    	-473.207    	-30.5733    	-7.34961    	-57.3628    	-61.6412    	-52.7155    	-374        	-43.4532    	-48.3274    	-7.50861    	-378.139    	-8.0972     	-55.4105    	-50.0697    	-54.9673    	-430.648    	-7.55782    	-65.9003    	-42.9369    	-312.631    	-6.87802    	-9.37231    	-44.0461    	-7.76802    	-8.46088    	-36.5064    	-53.0387    	-6.60815    	-49.6557    	-60.2381    	-56.1412    	-7.08306    	-321.929    	-40.2412    	-52.4445    	-8.22723    	-42.9585    	-65.0745    	-49.486     
0.065 	-8.39663    	-63.139     	-464.26     	-422.054    	-8.49628    	-56.1587    	-53.5844    	-59.1656    	-36.1908    	-8.70028    	-460.535    	-50.7998    	-44.0139    	-382.49     	-47.2459    	-6.54175    	-8.27105    	-52.979     	-50.5565    	-8.11769    	-57.8619    	-51.9391    	-381.534    	-383.912    	-62.1338    	-380.235    	-50.6771    	-55.719     	-8.95368    	-459.134    	-7.08053    	-46.7607    	-8.36288    	-476.746    	-34.6962    	-7.81674    	-59.4618    	-63.6883    	-55.3627    	-383.508    	-46.6546    	-50.967     	-7.93728    	-389.64     	-8.50904    	-57.5545    	-52.6594    	-58.8544    	-436.396    	-8.10455    	-68.8302    	-46.575     	-328.29     	-7.40604    	-9.78365    	-47.481     	-8.21738    	-8.92925    	-40.0272    	-55.2324    	-7.16209    	-52.3495    	-62.3578    	-58.4898    	-7.58665    	-336.981    	-43.5419    	-55.2542    	-8.69584    	-46.2418    	-68.1291    	-52.5552    
0.075 	-8.89666    	-65.3768    	-479.878    	-432.824    	-8.93693    	-58.6842    	-56.6535    	-63.4865    	-40.6409    	-9.24644    	-466.919    	-53.4667    	-47.729     	-394        	-51.0732    	-7.20858    	-8.69558    	-55.7949    	-54.1568    	-8.72325    	-60.5629    	-54.9375    	-395.711    	-397.277    	-64.5335    	-392.001    	-53.55      	-58.6142    	-9.47356    	-474.917    	-7.65655    	-50.653     	-8.93161    	-480.847    	-39.2821    	-8.33275    	-61.802     	-65.9837    	-58.3161    	-394.19     	-50.2199    	-53.9026    	-8.41517    	-402.571    	-8.96665    	-59.9594    	-55.5406    	-63.1924    	-442.864    	-8.71303    	-72.1213    	-50.6311    	-345.786    	-7.9901     	-10.2435    	-51.3059    	-8.7182     	-9.45358    	-43.9164    	-57.6916    	-7.77667    	-55.3414    	-64.7475    	-61.1267    	-8.14703    	-353.677    	-47.2153    	-58.3888    	-9.21734    	-49.8926    	-71.558     	-55.9829    
0.085 	-9.43589    	-67.8196    	-497.041    	-444.689    	-9.41047    	-61.406     	-59.9737    	-68.177     	-45.4164    	-9.8398     	-474.048    	-56.3558    	-51.7401    	-406.389    	-55.2099    	-7.9301     	-9.15163    	-58.8303    	-58.0597    	-9.3797     	-63.5162    	-58.2006    	-411.197    	-411.803    	-67.1587    	-404.866    	-56.6465    	-61.7568    	-10.0373    	-492.259    	-8.27709    	-54.8695    	-9.54711    	-485.489    	-44.2377    	-8.88565    	-64.338     	-68.488     	-61.519     	-405.87     	-54.0781    	-57.0736    	-8.93291    	-416.72     	-9.46045    	-62.5836    	-58.6548    	-67.8988    	-449.951    	-9.371      	-75.7194    	-55.0264    	-364.79     	-8.617      	-10.7433    	-55.4445    	-9.26061    	-10.0245    	-48.0839    	-60.3733    	-8.4387     	-58.5686    	-67.3709    	-64.008     	-8.7528     	-371.657    	-51.1869    	-61.7883    	-9.78116    	-53.8358    	-75.304     	-59.7053    
0.095 	-10.003     	-70.426     	-515.496    	-457.486    	-9.90636    	-64.2664    	-63.4789    	-73.1496    	-50.4099    	-10.4694    	-481.853    	-59.4106    	-55.9652    	-419.391    	-59.573     	-8.69207    	-9.62897    	-62.0212    	-62.1906    	-10.0745    	-66.6734    	-61.67      	-427.734    	-427.226    	-69.9668    	-418.615    	-59.9011    	-65.0876    	-10.6342    	-510.902    	-8.92892    	-59.3286    	-10.1972    	-490.647    	-49.4632    	-9.46268    	-67.0204    	-71.1583    	-64.9103    	-418.353    	-58.153     	-60.4155    	-9.48038    	-431.86     	-9.98015    	-65.3822    	-61.939     	-72.8849    	-457.541    	-10.0653    	-79.5659    	-59.6763    	-384.953    	-9.27265    	-11.2741    	-59.8152    	-9.83394    	-10.632     	-52.4341    	-63.231     	-9.13408    	-61.9638    	-70.1887    	-67.0855    	-9.39173    	-390.54     	-55.377     	-65.3882    	-10.376     	-57.991     	-79.3051    	-63.6535    
