q      	cage        
0.005 	-9789.75    
0.015 	-9793.3     
0.025 	-9800.63    
0.035 	-9812.16    
0.045 	-9828.5     
0.055 	-9850.43    
0.065 	-9878.8     
0.075 	-9914.54    
0.085 	-9958.52    
0.095 	-10011.6    
0.105 	-10074.4    
0.115 	-10147.5    
0.125 	-10231      
0.135 	-10324.8    
0.145 	-10428.5    
0.155 	-10541.3    
0.165 	-10661.8    
0.175 	-10788.4    
0.185 	-10919      
0.195 	-11051.3    
0.205 	-11182.3    
0.215 	-11309      
0.225 	-11428.1    
0.235 	-11536.3    
0.245 	-11629.9    
0.255 	-11705.6    
0.265 	-11760.1    
0.275 	-11790.2    
0.285 	-11793.2    
0.295 	-11766.7    
0.305 	-11709      
0.315 	-11618.6    
0.325 	-11494.8    
0.335 	-11337.7    
0.345 	-11147.8    
0.355 	-10926.4    
0.365 	-10675.3    
0.375 	-10397.3    
0.385 	-10095.4    
0.395 	-9773.12    
0.405 	-9434.6     
0.415 	-9084.16    
0.425 	-8726.35    
0.435 	-8365.83    
0.445 	-8007.25    
0.455 	-7655.11    
0.465 	-7313.69    
0.475 	-6986.9     
0.485 	-6678.22    
0.495 	-6390.6     
0.505 	-6126.37    
0.515 	-5887.24    
0.525 	-5674.23    
0.535 	-5487.66    
0.545 	-5327.17    
0.555 	-5191.73    
0.565 	-5079.71    
0.575 	-4988.92    
0.585 	-4916.69    
0.595 	-4859.97    
0.605 	-4815.43    
0.615 	-4779.57    
0.625 	-4748.84    
0.635 	-4719.71    
0.645 	-4688.84    
0.655 	-4653.15    
0.665 	-4609.9     
0.675 	-4556.79    
0.685 	-4492.06    
0.695 	-4414.45    
0.705 	-4323.32    
0.715 	-4218.6     
0.725 	-4100.84    
0.735 	-3971.12    
0.745 	-3831.06    
0.755 	-3682.72    
0.765 	-3528.54    
0.775 	-3371.27    
0.785 	-3213.84    
0.795 	-3059.27    
0.805 	-2910.59    
0.815 	-2770.7     
0.825 	-2642.25    
0.835 	-2527.62    
0.845 	-2428.77    
0.855 	-2347.17    
0.865 	-2283.79    
0.875 	-2239       
0.885 	-2212.59    
0.895 	-2203.75    
0.905 	-2211.07    
0.915 	-2232.61    
0.925 	-2265.89    
0.935 	-2308.03    
0.945 	-2355.77    
0.955 	-2405.57    
0.965 	-2453.75    
0.975 	-2496.54    
0.985 	-2530.24    
0.995 	-2551.27    
1.005 	-2556.33    
1.015 	-2542.48    
1.025 	-2507.2     
1.035 	-2448.49    
1.045 	-2364.93    
1.055 	-2255.74    
1.065 	-2120.76    
1.075 	-1960.52    
1.085 	-1776.18    
1.095 	-1569.56    
1.105 	-1343.02    
1.115 	-1099.49    
1.125 	-842.322    
1.135 	-575.269    
1.145 	-302.344    
1.155 	-27.741     
1.165 	244.268     
1.175 	509.441     
1.185 	763.669     
1.195 	1003.07     
1.205 	1224.09     
1.215 	1423.57     
1.225 	1598.82     
1.235 	1747.69     
1.245 	1868.57     
1.255 	1960.47     
1.265 	2022.99     
1.275 	2056.35     
1.285 	2061.33     
1.295 	2039.24     
1.305 	1991.92     
1.315 	1921.63     
1.325 	1831.01     
1.335 	1722.97     
1.345 	1600.66     
1.355 	1467.35     
1.365 	1326.37     
1.375 	1181        
1.385 	1034.43     
1.395 	889.651     
1.405 	749.429     
1.415 	616.218     
1.425 	492.138     
1.435 	378.934     
1.445 	277.955     
1.455 	190.146     
1.465 	116.049     
1.475 	55.8188     
1.485 	9.23842     
1.495 	-24.2434    
1.505 	-45.476     
1.515 	-55.5616    
1.525 	-55.8063    
1.535 	-47.6682    
1.545 	-32.7039    
1.555 	-12.5168    
1.565 	11.2942     
1.575 	37.1817     
1.585 	63.6917     
1.595 	89.5015     
1.605 	113.449     
1.615 	134.557     
1.625 	152.05      
1.635 	165.362     
1.645 	174.136     
1.655 	178.224     
1.665 	177.671     
1.675 	172.7       
1.685 	163.691     
1.695 	151.153     
1.705 	135.698     
1.715 	118.011     
1.725 	98.8199     
1.735 	78.8673     
1.745 	58.8799     
1.755 	39.5447     
1.765 	21.4858     
1.775 	5.24523     
1.785 	-8.73178    
1.795 	-20.1075    
1.805 	-28.6578    
1.815 	-34.2739    
1.825 	-36.9599    
1.835 	-36.8263    
1.845 	-34.0803    
1.855 	-29.0128    
1.865 	-21.9834    
1.875 	-13.4038    
1.885 	-3.71956    
1.895 	6.60711     
1.905 	17.1157     
1.915 	27.3638     
1.925 	36.9423     
1.935 	45.4886     
1.945 	52.6973     
1.955 	58.3288     
1.965 	62.2142     
1.975 	64.2582     
1.985 	64.4389     
1.995 	62.8049     
2.005 	59.4697     
2.015 	54.6047     
2.025 	48.4298     
2.035 	41.2031     
2.045 	33.2093     
2.055 	24.7479     
2.065 	16.1217     
2.075 	7.62485     
2.085 	-0.467033   
2.095 	-7.90669    
2.105 	-14.4829    
2.115 	-20.0269    
2.125 	-24.4163    
2.135 	-27.5782    
2.145 	-29.4891    
2.155 	-30.1741    
2.165 	-29.7034    
2.175 	-28.1882    
2.185 	-25.7743    
2.195 	-22.6357    
2.205 	-18.9665    
2.215 	-14.9732    
2.225 	-10.8661    
2.235 	-6.85186    
2.245 	-3.12539    
2.255 	0.136513    
2.265 	2.78116     
2.275 	4.68465     
