q      	cage        
0.005 	-8357.99    
0.015 	-8369.83    
0.025 	-8393.57    
0.035 	-8429.34    
0.045 	-8477.28    
0.055 	-8537.55    
0.065 	-8610.31    
0.075 	-8695.63    
0.085 	-8793.51    
0.095 	-8903.8     
0.105 	-9026.16    
0.115 	-9160.04    
0.125 	-9304.63    
0.135 	-9458.86    
0.145 	-9621.32    
0.155 	-9790.3     
0.165 	-9963.78    
0.175 	-10139.4    
0.185 	-10314.7    
0.195 	-10486.6    
0.205 	-10652.2    
0.215 	-10808.2    
0.225 	-10951.5    
0.235 	-11078.5    
0.245 	-11186.3    
0.255 	-11271.6    
0.265 	-11331.7    
0.275 	-11364      
0.285 	-11366.4    
0.295 	-11337.2    
0.305 	-11275.2    
0.315 	-11179.8    
0.325 	-11051.1    
0.335 	-10889.6    
0.345 	-10696.5    
0.355 	-10473.7    
0.365 	-10223.5    
0.375 	-9948.99    
0.385 	-9653.46    
0.395 	-9340.74    
0.405 	-9014.96    
0.415 	-8680.43    
0.425 	-8341.61    
0.435 	-8002.95    
0.445 	-7668.79    
0.455 	-7343.28    
0.465 	-7030.26    
0.475 	-6733.17    
0.485 	-6454.98    
0.495 	-6198.08    
0.505 	-5964.31    
0.515 	-5754.81    
0.525 	-5570.12    
0.535 	-5410.08    
0.545 	-5273.91    
0.555 	-5160.23    
0.565 	-5067.1     
0.575 	-4992.11    
0.585 	-4932.45    
0.595 	-4885.01    
0.605 	-4846.47    
0.615 	-4813.41    
0.625 	-4782.44    
0.635 	-4750.27    
0.645 	-4713.84    
0.655 	-4670.41    
0.665 	-4617.63    
0.675 	-4553.62    
0.685 	-4477.04    
0.695 	-4387.1     
0.705 	-4283.59    
0.715 	-4166.89    
0.725 	-4037.96    
0.735 	-3898.27    
0.745 	-3749.79    
0.755 	-3594.89    
0.765 	-3436.27    
0.775 	-3276.88    
0.785 	-3119.8     
0.795 	-2968.15    
0.805 	-2824.96    
0.815 	-2693.1     
0.825 	-2575.17    
0.835 	-2473.38    
0.845 	-2389.49    
0.855 	-2324.78    
0.865 	-2279.9     
0.875 	-2254.95    
0.885 	-2249.38    
0.895 	-2262.03    
0.905 	-2291.13    
0.915 	-2334.38    
0.925 	-2388.94    
0.935 	-2451.58    
0.945 	-2518.69    
0.955 	-2586.44    
0.965 	-2650.84    
0.975 	-2707.88    
0.985 	-2753.62    
0.995 	-2784.33    
1.005 	-2796.55    
1.015 	-2787.24    
1.025 	-2753.83    
1.035 	-2694.32    
1.045 	-2607.32    
1.055 	-2492.11    
1.065 	-2348.68    
1.075 	-2177.7     
1.085 	-1980.52    
1.095 	-1759.17    
1.105 	-1516.29    
1.115 	-1255.05    
1.125 	-979.109    
1.135 	-692.508    
1.145 	-399.568    
1.155 	-104.792    
1.165 	187.245     
1.175 	472.012     
1.185 	745.118     
1.195 	1002.43     
1.205 	1240.15     
1.215 	1454.91     
1.225 	1643.85     
1.235 	1804.67     
1.245 	1935.67     
1.255 	2035.78     
1.265 	2104.57     
1.275 	2142.25     
1.285 	2149.64     
1.295 	2128.15     
1.305 	2079.72     
1.315 	2006.72     
1.325 	1911.97     
1.335 	1798.56     
1.345 	1669.85     
1.355 	1529.3      
1.365 	1380.47     
1.375 	1226.87     
1.385 	1071.88     
1.395 	918.723     
1.405 	770.352     
1.415 	629.407     
1.425 	498.167     
1.435 	378.516     
1.445 	271.917     
1.455 	179.401     
1.465 	101.57      
1.475 	38.6053     
1.485 	-9.70458    
1.495 	-43.9358    
1.505 	-64.9866    
1.515 	-74.0307    
1.525 	-72.4652    
1.535 	-61.8552    
1.545 	-43.8775    
1.555 	-20.2636    
1.565 	7.25399     
1.575 	36.9936     
1.585 	67.3703     
1.595 	96.9363     
1.605 	124.415     
1.615 	148.728     
1.625 	169.012     
1.635 	184.63      
1.645 	195.177     
1.655 	200.471     
1.665 	200.545     
1.675 	195.628     
1.685 	186.124     
1.695 	172.581     
1.705 	155.668     
1.715 	136.137     
1.725 	114.792     
1.735 	92.4603     
1.745 	69.9556     
1.755 	48.0539     
1.765 	27.4664     
1.775 	8.81778     
1.785 	-7.37097    
1.795 	-20.6954    
1.805 	-30.8757    
1.815 	-37.7592    
1.825 	-41.3197    
1.835 	-41.651     
1.845 	-38.957     
1.855 	-33.5391    
1.865 	-25.7798    
1.875 	-16.1251    
1.885 	-5.06511    
1.895 	6.8856      
1.905 	19.2076     
1.915 	31.3953     
1.925 	42.9744     
1.935 	53.517      
1.945 	62.6546     
1.955 	70.0883     
1.965 	75.5956     
1.975 	79.0347     
1.985 	80.3457     
1.995 	79.5478     
2.005 	76.7356     
2.015 	72.0711     
2.025 	65.7748     
2.035 	58.1148     
2.045 	49.3947     
2.055 	39.9406     
2.065 	30.0887     
2.075 	20.1721     
2.085 	10.5089     
2.095 	1.39176     
2.105 	-6.92202    
2.115 	-14.2178    
2.125 	-20.3296    
2.135 	-25.1436    
2.145 	-28.6       
2.155 	-30.6924    
2.165 	-31.4657    
2.175 	-31.0118    
2.185 	-29.464     
2.195 	-26.9902    
2.205 	-23.7851    
2.215 	-20.0615    
2.225 	-16.0416    
2.235 	-11.9488    
2.245 	-7.99842    
2.255 	-4.39089    
2.265 	-1.30444    
2.275 	1.1104      
2.285 	2.73524     
2.295 	3.48681     
2.305 	3.31864     
2.315 	2.22117     
2.325 	0.220552    
2.335 	-2.62378    
2.345 	-6.22274    
2.355 	-10.4621    
2.365 	-15.2077    
2.375 	-20.3114    
2.385 	-25.6168    
2.395 	-30.9658    
2.405 	-36.2038    
2.415 	-41.1859    
2.425 	-45.7815    
2.435 	-49.878     
2.445 	-53.3851    
2.455 	-56.236     
2.465 	-58.3896    
2.475 	-59.8303    
2.485 	-60.5674    
2.495 	-60.6339    
2.505 	-60.0836    
2.515 	-58.9883    
2.525 	-57.434     
2.535 	-55.5171    
2.545 	-53.3401    
2.555 	-51.0072    
2.565 	-48.6201    
2.575 	-46.2744    
2.585 	-44.0559    
2.595 	-42.0375    
2.605 	-40.2775    
2.615 	-38.817     
2.625 	-37.6798    
2.635 	-36.8718    
2.645 	-36.3818    
2.655 	-36.1822    
2.665 	-36.2314    
2.675 	-36.4757    
2.685 	-36.8521    
2.695 	-37.291     
2.705 	-37.72      
2.715 	-38.0663    
2.725 	-38.2603    
2.735 	-38.2381    
2.745 	-37.9442    
2.755 	-37.3337    
2.765 	-36.3739    
2.775 	-35.0454    
2.785 	-33.3428    
2.795 	-31.2745    
2.805 	-28.8626    
2.815 	-26.1415    
2.825 	-23.1568    
2.835 	-19.9631    
2.845 	-16.6221    
2.855 	-13.2002    
2.865 	-9.76603    
2.875 	-6.38774    
2.885 	-3.13088    
2.895 	-0.0560346  
2.905 	2.78325     
2.915 	5.34208     
2.925 	7.58559     
2.935 	9.48984     
2.945 	11.0423     
2.955 	12.242      
2.965 	13.0989     
2.975 	13.6334     
2.985 	13.8752     
2.995 	13.8616     
3.005 	13.636      
3.015 	13.2463     
3.025 	12.7425     
3.035 	12.1749     
3.045 	11.5926     
3.055 	11.041      
3.065 	10.5607     
3.075 	10.1863     
3.085 	9.94469     
3.095 	9.85492     
3.105 	9.9275      
3.115 	10.1644     
3.125 	10.5593     
3.135 	11.0982     
3.145 	11.7602     
3.155 	12.5187     
3.165 	13.3425     
3.175 	14.1974     
3.185 	15.0478     
3.195 	15.8577     
3.205 	16.593      
3.215 	17.2218     
3.225 	17.7167     
3.235 	18.055      
3.245 	18.2201     
3.255 	18.2017     
3.265 	17.996      
3.275 	17.6063     
3.285 	17.0421     
3.295 	16.3189     
3.305 	15.4577     
3.315 	14.4837     
3.325 	13.4255     
3.335 	12.3139     
3.345 	11.181      
3.355 	10.0582     
3.365 	8.97608     
3.375 	7.96237     
3.385 	7.04158     
3.395 	6.2339      
3.405 	5.55469     
3.415 	5.01397     
3.425 	4.61627     
3.435 	4.36057     
3.445 	4.24055     
3.455 	4.24496     
3.465 	4.35823     
3.475 	4.56119     
3.485 	4.83192     
3.495 	5.14669     
3.505 	5.4809      
3.515 	5.81011     
3.525 	6.11096     
3.535 	6.36208     
3.545 	6.54482     
3.555 	6.64396     
3.565 	6.64818     
3.575 	6.55044     
3.585 	6.34808     
3.595 	6.0429      
3.605 	5.64089     
3.615 	5.15197     
3.625 	4.58945     
3.635 	3.96945     
3.645 	3.31022     
3.655 	2.63134     
3.665 	1.95293     
3.675 	1.2949      
3.685 	0.676095    
3.695 	0.113655    
3.705 	-0.377662   
3.715 	-0.785985   
3.725 	-1.10274    
3.735 	-1.32292    
3.745 	-1.44518    
3.755 	-1.47186    
3.765 	-1.40878    
3.775 	-1.26499    
3.785 	-1.05229    
3.795 	-0.784814   
3.805 	-0.478365   
3.815 	-0.149821   
3.825 	0.183544    
3.835 	0.504721    
3.845 	0.797605    
3.855 	1.04759     
3.865 	1.24208     
3.875 	1.37094     
3.885 	1.42679     
3.895 	1.40526     
3.905 	1.30504     
3.915 	1.1279      
3.925 	0.878523    
3.935 	0.564251    
3.945 	0.194753    
3.955 	-0.218413   
3.965 	-0.662284   
3.975 	-1.12303    
3.985 	-1.58649    
3.995 	-2.03876    
4.005 	-2.46669    
4.015 	-2.85838    
4.025 	-3.20362    
4.035 	-3.49424    
4.045 	-3.72435    
4.055 	-3.89057    
4.065 	-3.99203    
4.075 	-4.03042    
4.085 	-4.00978    
4.095 	-3.93637    
4.105 	-3.81829    
4.115 	-3.66519    
4.125 	-3.48782    
4.135 	-3.29759    
4.145 	-3.10612    
4.155 	-2.92475    
4.165 	-2.76413    
4.175 	-2.6338     
4.185 	-2.54184    
4.195 	-2.49457    
4.205 	-2.49635    
4.215 	-2.54945    
4.225 	-2.65398    
4.235 	-2.80792    
4.245 	-3.00725    
4.255 	-3.24614    
4.265 	-3.51719    
4.275 	-3.81175    
4.285 	-4.12026    
4.295 	-4.43266    
4.305 	-4.73873    
4.315 	-5.02853    
4.325 	-5.29273    
4.335 	-5.52298    
4.345 	-5.71216    
4.355 	-5.85467    
4.365 	-5.94658    
4.375 	-5.98571    
4.385 	-5.97172    
