q      	H_200-H_21   	H_200-C_7    	C_100-N_2    	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	H_100-N_2    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_200-H_22   	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_8    	H_200-C_12   	C_100-C_8    	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_200-C_5    	H_100-H_17   	C_100-N_1    	H_100-H_24   	H_100-C_8    	H_200-H_15   	C_100-C_7    	C_100-H_22   	H_200-H_23   	H_200-C_11   	C_100-H_17   	H_100-C_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	H_100-N_1    	C_100-C_11   	H_100-H_16   	H_200-N_1    	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	H_200-N_2    	C_100-H_18  
0.005 	-4.5384     	-54.9076    	-137.859    	-520.087    	-11.893     	-76.3059    	-55.4539    	-24.1132    	-71.7616    	0.976336    	-700.308    	24.4075     	6.91385     	-691.015    	-83.2025    	-2.79871    	-9.60486    	-63.7308    	8.74275     	-4.81633    	-57.454     	-41.5883    	-507.15     	-819.496    	-75.6119    	-347.348    	-55.8689    	-83.7024    	-2.46943    	-268.905    	3.56313     	-18.6346    	-11.4104    	-496.6      	-3.14091    	-8.92777    	-62.7575    	-2.27173    	-28.6919    	-329.73     	-9.34168    	-26.989     	3.05035     	-434.002    	-4.24527    	-16.0966    	-36.2389    	-40.2991    	-529.557    	0.600764    	-55.0399    	-9.49281    	-411.332    	-12.2825    	-1.81559    	3.04085     	5.04789     	-6.7286     	-56.9246    	-25.6054    	3.88847     	-85.157     	-48.5746    	-29.3283    	-1.5953     	-763.504    	25.2031     	-39.5795    	-10.3993    	10.7787     	-32.6596    	-33.2572    
0.015 	-4.63773    	-55.2187    	-142.844    	-518.351    	-11.9596    	-76.4488    	-55.9916    	-24.9332    	-72.1665    	0.847294    	-698.08     	23.6798     	6.28018     	-689.019    	-83.4867    	-2.87606    	-9.66868    	-64.1701    	7.91638     	-4.9131     	-57.5373    	-41.7294    	-505.54     	-816.638    	-75.7652    	-346.17     	-56.3007    	-83.8814    	-2.59321    	-273.176    	3.44663     	-19.2416    	-11.4851    	-496.383    	-3.80823    	-8.9963     	-62.9802    	-3.168      	-29.3605    	-328.697    	-9.9109     	-27.6155    	2.94226     	-432.616    	-4.3483     	-16.4351    	-36.8191    	-41.0603    	-529.128    	0.478279    	-55.6149    	-10.2208    	-410.194    	-12.3418    	-1.94556    	2.3056      	4.90825     	-6.80012    	-57.3048    	-25.8061    	3.76543     	-85.3056    	-48.7735    	-29.6393    	-1.68763    	-761.311    	24.4327     	-40.2106    	-10.4832    	10.0909     	-33.365     	-33.7676    
0.025 	-4.83437    	-55.8365    	-152.725    	-514.944    	-12.091     	-76.7322    	-57.0545    	-26.5576    	-72.9657    	0.591485    	-693.69     	22.2364     	5.02319     	-685.076    	-84.0474    	-3.02949    	-9.79469    	-65.0377    	6.27859     	-5.10478    	-57.7058    	-42.0125    	-502.38     	-810.989    	-76.0703    	-343.871    	-57.1542    	-84.2357    	-2.83838    	-281.636    	3.21561     	-20.4445    	-11.6326    	-495.969    	-5.13004    	-9.13177    	-63.4224    	-4.94346    	-30.6843    	-326.684    	-11.0397    	-28.8554    	2.72779     	-429.903    	-4.55218    	-17.1093    	-37.967     	-42.5674    	-528.287    	0.235466    	-56.7541    	-11.6632    	-407.966    	-12.4589    	-2.20306    	0.847934    	4.6314      	-6.94194    	-58.0565    	-26.2076    	3.52139     	-85.5992    	-49.1708    	-30.2587    	-1.87066    	-756.974    	22.9044     	-41.4597    	-10.6489    	8.72645     	-34.7633    	-34.7796    
0.035 	-5.12431    	-56.7519    	-167.323    	-509.997    	-12.2835    	-77.1508    	-58.6181    	-28.9553    	-74.1378    	0.213413    	-687.262    	20.1007     	3.16335     	-679.281    	-84.8696    	-3.25644    	-9.97967    	-66.3121    	3.859       	-5.38765    	-57.9631    	-42.4389    	-497.794    	-802.676    	-76.5237    	-340.564    	-58.4092    	-84.7572    	-3.20018    	-294.121    	2.87398     	-22.2217    	-11.8492    	-495.401    	-7.08106    	-9.33106    	-64.0772    	-7.56433    	-32.6364    	-323.796    	-12.7092    	-30.6825    	2.41032     	-425.979    	-4.85264    	-18.1133    	-39.6584    	-44.7895    	-527.067    	-0.123404   	-58.436     	-13.7935    	-404.746    	-12.6305    	-2.58329    	-1.30672    	4.22213     	-7.15162    	-59.1623    	-26.8103    	3.16043     	-86.0308    	-49.7657    	-31.1814    	-2.14112    	-750.587    	20.6437     	-43.3002    	-10.8924    	6.70779     	-36.8298    	-36.2762    
0.045 	-5.50165    	-57.9517    	-186.373    	-503.7      	-12.5316    	-77.697     	-60.6464    	-32.0807    	-75.6515    	-0.280288   	-678.98     	17.3073     	0.730886    	-671.774    	-85.9315    	-3.55317    	-10.2189    	-67.9616    	0.701187    	-5.75627    	-58.3144    	-43.0104    	-491.957    	-791.889    	-77.1206    	-336.411    	-60.0361    	-85.4346    	-3.67162    	-310.392    	2.42749     	-24.5411    	-12.1296    	-494.738    	-9.6241     	-9.58957    	-64.9348    	-10.9809    	-35.1773    	-320.182    	-14.8912    	-33.0583    	1.99487     	-421.014    	-5.24339    	-19.4387    	-41.8575    	-47.6819    	-525.518    	-0.592038   	-60.6286    	-16.5723    	-400.673    	-12.8523    	-3.07914    	-4.12092    	3.68748     	-7.42556    	-60.5969    	-27.6142    	2.68853     	-86.5901    	-50.5568    	-32.3999    	-2.49423    	-742.288    	17.6878     	-45.6936    	-11.2079    	4.06776     	-39.5278    	-38.232     
0.055 	-5.95877    	-59.4186    	-209.535    	-496.295    	-12.8285    	-78.3608    	-63.0927    	-35.8747    	-77.4665    	-0.880993   	-669.078    	13.9013     	-2.23489    	-662.735    	-87.2044    	-3.91477    	-10.5063    	-69.945     	-3.13826    	-6.2036     	-58.7659    	-43.729     	-485.097    	-778.869    	-77.8541    	-331.623    	-61.9966    	-86.2527    	-4.24363    	-330.138    	1.88363     	-27.3612    	-12.4668    	-494.056    	-12.711     	-9.90134    	-65.982     	-15.1289    	-38.256     	-316.037    	-17.5493    	-35.9331    	1.48794     	-415.224    	-5.71626    	-21.0738    	-44.5177    	-51.1861    	-523.701    	-1.16225    	-63.2909    	-19.9487    	-395.929    	-13.1183    	-3.68144    	-7.54599    	3.03664     	-7.75911    	-62.3272    	-28.6193    	2.11349     	-87.2635    	-51.5417    	-33.9038    	-2.92374    	-732.253    	14.085      	-48.5897    	-11.5875    	0.849216    	-42.81      	-40.6142    
0.065 	-6.48647    	-61.1311    	-236.394    	-488.069    	-13.1659    	-79.1298    	-65.9009    	-40.2659    	-79.5342    	-1.57827    	-657.836    	9.93719     	-5.68633    	-652.376    	-88.6543    	-4.33535    	-10.8345    	-72.2131    	-7.59099    	-6.7211     	-59.3247    	-44.5966    	-477.482    	-763.906    	-78.7161    	-326.446    	-64.2446    	-87.1935    	-4.90528    	-352.981    	1.25148     	-30.6317    	-12.8525    	-493.444    	-16.2838    	-10.2592    	-67.203     	-19.9304    	-41.8108    	-311.587    	-20.6394    	-39.2471    	0.897449    	-408.866    	-6.26143    	-23.0043    	-47.5833    	-55.2318    	-521.69     	-1.82415    	-66.3731    	-23.8612    	-390.726    	-13.4213    	-4.37909    	-11.5231    	2.2807      	-8.14659    	-64.3135    	-29.8248    	1.44475     	-88.0348    	-52.7173    	-35.6801    	-3.42214    	-720.696    	9.89416     	-51.9282    	-12.0221    	-2.89592    	-46.6188    	-43.3827    
0.075 	-7.07419    	-63.0645    	-266.474    	-479.345    	-13.5341    	-79.9896    	-69.0067    	-45.1721    	-81.7991    	-2.36009    	-645.57     	5.47813     	-9.56838    	-640.939    	-90.2422    	-4.80806    	-11.1952    	-74.7097    	-12.5784    	-7.29902    	-59.9979    	-45.6147    	-469.413    	-747.33     	-79.6965    	-321.155    	-66.7276    	-88.236     	-5.64402    	-378.492    	0.541489    	-34.2951    	-13.2771    	-492.998    	-20.2761    	-10.6549    	-68.579     	-25.2962    	-45.7714    	-307.087    	-24.1105    	-42.9318    	0.232528    	-402.224    	-6.86766    	-25.2129    	-50.9902    	-59.7384    	-519.566    	-2.56631    	-69.8177    	-28.2392    	-385.302    	-13.7534    	-5.15932    	-15.9843    	1.43244     	-8.58148    	-66.51      	-31.2288    	0.693219    	-88.8848    	-54.0791    	-37.7133    	-3.98075    	-707.855    	5.18297     	-55.64      	-12.5011    	-7.10765    	-50.8882    	-46.4913    
0.085 	-7.71028    	-65.1906    	-299.248    	-470.468    	-13.9228    	-80.9237    	-72.3395    	-50.5026    	-84.2005    	-3.21309    	-632.618    	0.594392    	-13.8197    	-628.684    	-91.9252    	-5.32531    	-11.5791    	-77.3726    	-18.0133    	-7.92653    	-60.7926    	-46.7839    	-461.211    	-729.498    	-80.7837    	-316.043    	-69.3875    	-89.3567    	-6.44599    	-406.19     	-0.234729   	-38.2871    	-13.73      	-492.819    	-24.6146    	-11.0792    	-70.0888    	-31.1276    	-50.0597    	-302.806    	-27.906     	-46.9119    	-0.496614   	-395.606    	-7.52252    	-27.6791    	-54.668     	-64.6168    	-517.415    	-3.37605    	-73.5614    	-33.0044    	-379.913    	-14.1056    	-6.00802    	-20.8544    	0.506046    	-9.05651    	-68.8663    	-32.8283    	-0.128941   	-89.7924    	-55.6208    	-39.985     	-4.58994    	-693.991    	0.0268966   	-59.6489    	-13.0129    	-11.7191    	-55.5446    	-49.8887    
0.095 	-8.38227    	-67.4785    	-334.145    	-461.795    	-14.3209    	-81.9139    	-75.8237    	-56.1596    	-86.6734    	-4.12286    	-619.335    	-4.63792    	-18.3739    	-615.884    	-93.6577    	-5.87886    	-11.9764    	-80.1361    	-23.8019    	-8.59203    	-61.7146    	-48.1035    	-453.209    	-710.787    	-81.9642    	-311.412    	-72.1623    	-90.5304    	-7.29629    	-435.563    	-1.06461    	-42.5391    	-14.2003    	-493.006    	-29.2211    	-11.5226    	-71.7088    	-37.3185    	-54.5923    	-299.024    	-31.9647    	-51.1068    	-1.2789     	-389.328    	-8.21272    	-30.38      	-58.541     	-69.7715    	-515.324    	-4.23966    	-77.5356    	-38.0729    	-374.824    	-14.4683    	-6.90999    	-26.052     	-0.483158   	-9.5638     	-71.3279    	-34.6183    	-1.00858    	-90.7344    	-57.3345    	-42.4741    	-5.23933    	-679.378    	-5.49241    	-63.8734    	-13.5452    	-16.6578    	-60.5084    	-53.5191    
