q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_100-H_24   	H_200-H_15   	C_100-H_22   	H_200-N_7    	H_200-H_23   	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
0.005 	-0.0480171  	-454.705    	-4.10295    	-28.2612    	-23.2449    	-43.6571    	-7.72586    	-464.904    	-14.0669    	-18.9806    	-160.579    	-16.9125    	-23.7876    	-4.87907    	-24.1646    	-3.33286    	-18.9055    	-47.8728    	-4.36994    	-49.6961    	-27.3821    	-220.068    	-59.9574    	-49.7603    	-18.3089    	-25.0684    	-403.615    	-19.3055    	-46.3537    	-5.17749    	-4.23687    	-4.74562    	-30.9352    	-29.2018    	-3.22867    	-12.0466    	-60.746     	-490.435    	-56.4402    	-117.454    	-269.054    	-17.0322    	19.2796     	-21.8903    	-2.77102    	-427.865    	-1.81427    	-17.8047    	-14.1684    	20.9973     	-4.77385    	-25.5735    	-161.376    	-5.22086    	-8.52738    	-23.1651    	-0.885452   	-4.50502    	-2.33855    	-87.0055    	-30.2686    	-1.95459    	-32.9695    	-61.2613    	-52.033     	-3.58945    	-307.18     	14.0042     	-26.9654    	-4.28338    	-14.5389    	6.14806     
0.015 	-0.196298   	-454.484    	-4.20273    	-28.858     	-23.8689    	-43.9875    	-7.77516    	-464.462    	-14.835     	-19.6799    	-164.425    	-17.6193    	-24.4111    	-4.96951    	-24.9125    	-3.4463     	-19.5898    	-48.1622    	-4.46551    	-49.9603    	-27.9642    	-222.889    	-60.0887    	-54.6744    	-19.0167    	-25.6679    	-403.946    	-20.1172    	-46.6818    	-5.26041    	-4.33889    	-4.83509    	-31.4735    	-29.8851    	-3.34859    	-12.8019    	-60.8832    	-489.565    	-56.619     	-122.411    	-271.33     	-17.7444    	18.1324     	-22.6764    	-2.89224    	-427.761    	-1.93925    	-18.4848    	-14.9023    	15.1686     	-4.8613     	-26.1645    	-165.039    	-5.30593    	-8.56806    	-23.793     	-1.02292    	-4.6028     	-3.30203    	-92.3862    	-30.8199    	-2.0768     	-33.4663    	-61.3849    	-52.274     	-3.69575    	-308.826    	12.9132     	-27.5339    	-4.37851    	-15.2672    	5.10879     
0.025 	-0.489832   	-454.059    	-4.40051    	-30.0405    	-25.105     	-44.645     	-7.87289    	-463.602    	-16.3567    	-21.0652    	-172.043    	-19.0187    	-25.6464    	-5.14868    	-26.3945    	-3.67092    	-20.9456    	-48.7358    	-4.65482    	-50.4855    	-29.1179    	-228.481    	-60.3506    	-64.4085    	-20.4184    	-26.8555    	-404.617    	-21.725     	-47.3332    	-5.42459    	-4.54105    	-5.01233    	-32.5396    	-31.2395    	-3.586      	-14.2982    	-61.1561    	-487.868    	-56.976     	-132.231    	-275.849    	-19.1547    	15.8619     	-24.2339    	-3.13244    	-427.583    	-2.18661    	-19.8326    	-16.3557    	3.62833     	-5.0344     	-27.3349    	-172.294    	-5.47469    	-8.64877    	-25.0372    	-1.29516    	-4.79647    	-5.20836    	-103.045    	-31.9134    	-2.31881    	-34.4521    	-61.6317    	-52.7543    	-3.90619    	-312.1      	10.7538     	-28.6597    	-4.56689    	-16.7097    	3.05244     
0.035 	-0.92263    	-453.467    	-4.69275    	-31.7869    	-26.9299    	-45.6231    	-8.01731    	-462.371    	-18.6037    	-23.1104    	-183.284    	-21.0823    	-27.4706    	-5.41316    	-28.5826    	-4.00225    	-22.9476    	-49.5835    	-4.93427    	-51.2655    	-30.822     	-236.749    	-60.7421    	-78.7763    	-22.4869    	-28.6081    	-405.646    	-24.0985    	-48.2986    	-5.66676    	-4.83961    	-5.27398    	-34.1129    	-33.2412    	-3.93606    	-16.5071    	-61.5614    	-485.43     	-57.5105    	-146.732    	-282.546    	-21.2349    	12.5156     	-26.5342    	-3.48713    	-427.382    	-2.55126    	-21.8239    	-18.4995    	-13.3924    	-5.28963    	-29.0616    	-183.003    	-5.72443    	-8.7682     	-26.8751    	-1.6968     	-5.08225    	-8.01681    	-118.777    	-33.5307    	-2.67583    	-35.9114    	-62.0007    	-53.47      	-4.21646    	-316.972    	7.57051     	-30.3208    	-4.84485    	-18.8382    	0.0228381   
0.045 	-1.48589    	-452.756    	-5.07422    	-34.065     	-29.309     	-46.9118    	-8.20589    	-460.835    	-21.534     	-25.7769    	-197.932    	-23.7687    	-29.8499    	-5.75794    	-31.4361    	-4.43374    	-25.5585    	-50.6906    	-5.29853    	-52.2911    	-33.0454    	-247.549    	-61.2615    	-97.5039    	-25.1819    	-30.8923    	-407.06     	-27.1928    	-49.5641    	-5.98207    	-5.22909    	-5.61511    	-36.1629    	-35.8546    	-4.39171    	-19.3868    	-62.0941    	-482.373    	-58.2207    	-165.641    	-291.327    	-23.9437    	8.16331     	-29.535     	-3.94974    	-427.239    	-3.02567    	-24.4226    	-21.2912    	-35.5538    	-5.6218     	-31.311     	-196.963    	-6.05114    	-8.92439    	-29.2732    	-2.21996    	-5.45459    	-11.6676    	-139.285    	-35.6447    	-3.14087    	-37.8215    	-62.4908    	-54.4155    	-4.62024    	-323.39     	3.42894     	-32.4848    	-5.20694    	-21.6118    	-3.91571    
0.055 	-2.16821    	-451.99     	-5.53817    	-36.8328    	-32.1976    	-48.4979    	-8.43528    	-459.082    	-25.0935    	-29.0149    	-215.704    	-27.0242    	-32.7406    	-6.17651    	-34.9021    	-4.95685    	-28.7299    	-52.0374    	-5.74072    	-53.5499    	-35.7478    	-260.695    	-61.9061    	-120.236    	-28.4514    	-33.6644    	-408.891    	-30.9497    	-51.1114    	-6.36428    	-5.70237    	-6.02931    	-38.65      	-39.0338    	-4.94376    	-22.883     	-62.7478    	-478.856    	-59.1043    	-188.61     	-302.066    	-27.2276    	2.89523     	-33.1812    	-4.51173    	-427.251    	-3.6001     	-27.582     	-24.6757    	-62.4155    	-6.02419    	-34.0391    	-213.91     	-6.44959    	-9.11483    	-32.1882    	-2.85445    	-5.90632    	-16.0834    	-164.18     	-38.2205    	-3.70482    	-40.1527    	-63.0998    	-55.5831    	-5.10936    	-331.291    	-1.58612    	-35.1096    	-5.64614    	-24.9768    	-8.68009    
0.065 	-2.95584    	-451.246    	-6.07639    	-40.0399    	-35.5417    	-50.3652    	-8.70146    	-457.211    	-29.2165    	-32.764     	-236.26     	-30.7842    	-36.0897    	-6.66096    	-38.9164    	-5.56133    	-32.4036    	-53.6005    	-6.25249    	-55.0268    	-38.8802    	-275.963    	-62.6726    	-146.545    	-32.2327    	-36.8718    	-411.173    	-35.2987    	-52.9184    	-6.80581    	-6.25083    	-6.50885    	-41.5265    	-42.7233    	-5.58116    	-26.9301    	-63.5145    	-475.062    	-60.158     	-215.215    	-314.61     	-31.022     	-3.17999    	-37.4067    	-5.16281    	-427.532    	-4.26284    	-31.2457    	-28.5865    	-93.4472    	-6.48867    	-37.1933    	-233.524    	-6.91345    	-9.33641    	-35.5675    	-3.58793    	-6.42878    	-21.1715    	-192.994    	-41.2152    	-4.35671    	-42.8687    	-63.8251    	-56.9634    	-5.67392    	-340.594    	-7.37266    	-38.1444    	-6.15396    	-28.8691    	-14.1705    
0.075 	-3.83301    	-450.605    	-6.67945    	-43.6282    	-39.2795    	-52.4941    	-8.99975    	-455.337    	-33.8279    	-36.955     	-259.213    	-34.9745    	-39.8365    	-7.20221    	-43.4057    	-6.23539    	-36.5125    	-55.3526    	-6.82428    	-56.7039    	-42.3862    	-293.096    	-63.5565    	-175.938    	-36.4536    	-40.4542    	-413.946    	-40.1592    	-54.9592    	-7.29798    	-6.86458    	-7.04483    	-44.7374    	-46.8591    	-6.29126    	-31.4529    	-64.3846    	-471.2      	-61.3773    	-244.97     	-328.783    	-35.2528    	-9.93801    	-42.1352    	-5.89112    	-428.209    	-5.00045    	-35.3486    	-32.9476    	-128.041    	-7.00595    	-40.7128    	-255.44     	-7.43539    	-9.58553    	-39.351     	-4.40629    	-7.01203    	-26.8258    	-225.192    	-44.5797    	-5.08394    	-45.9275    	-64.6629    	-58.5444    	-6.30261    	-351.203    	-13.814     	-41.531     	-6.72063    	-33.2145    	-20.273     
0.085 	-4.78234    	-450.154    	-7.33689    	-47.5332    	-43.3421    	-54.8618    	-9.32492    	-453.576    	-38.8444    	-41.5113    	-284.132    	-39.5136    	-43.9137    	-7.79017    	-48.2886    	-6.96602    	-40.9822    	-57.2633    	-7.44549    	-58.5609    	-46.2034    	-311.805    	-64.552     	-207.871    	-41.0346    	-44.3449    	-417.246    	-45.4419    	-57.2048    	-7.83118    	-7.53265    	-7.62741    	-48.2218    	-51.3702    	-7.06009    	-36.3677    	-65.347     	-467.488    	-62.7561    	-277.339    	-344.384    	-39.8383    	-17.2418    	-47.2823    	-6.68354    	-429.411    	-5.79808    	-39.8185    	-37.6745    	-165.526    	-7.5657     	-44.5307    	-279.254    	-8.00719    	-9.85813    	-43.4718    	-5.2939     	-7.6451     	-32.9299    	-260.182    	-48.2591    	-5.87258    	-49.2823    	-65.6084    	-60.3125    	-6.9829     	-363.005    	-20.7815    	-45.205     	-7.33537    	-37.9315    	-26.8623    
0.095 	-5.78515    	-449.982    	-8.03742    	-51.6855    	-47.6561    	-57.4429    	-9.67131    	-452.051    	-44.1763    	-46.3507    	-310.557    	-44.3143    	-48.2491    	-8.41395    	-53.4775    	-7.73923    	-45.733     	-59.2995    	-8.1047     	-60.5749    	-50.2641    	-331.782    	-65.6522    	-241.762    	-45.8903    	-48.4722    	-421.104    	-51.0508    	-59.6233    	-8.39508    	-8.24321    	-8.246      	-51.9144    	-56.1802    	-7.87271    	-41.5846    	-66.3895    	-464.152    	-64.2869    	-311.746    	-361.196    	-44.6908    	-24.9449    	-52.7573    	-7.52597    	-431.267    	-6.63986    	-44.5774    	-42.6771    	-205.184    	-8.15689    	-48.5751    	-304.529    	-8.61998    	-10.1498    	-47.858     	-6.23403    	-8.31622    	-39.3596    	-297.327    	-52.1938    	-6.70769    	-52.8818    	-66.6554    	-62.2516    	-7.70138    	-375.877    	-28.138     	-49.0973    	-7.98661    	-42.9322    	-33.8054    
