q      	cage        
0.005 	-6949.35    
0.015 	-6993.58    
0.025 	-7081.33    
0.035 	-7211.22    
0.045 	-7381.21    
0.055 	-7588.62    
0.065 	-7830.17    
0.075 	-8102.09    
0.085 	-8400.11    
0.095 	-8719.58    
0.105 	-9055.51    
0.115 	-9402.71    
0.125 	-9755.81    
0.135 	-10109.4    
0.145 	-10458      
0.155 	-10796.4    
0.165 	-11119.4    
0.175 	-11422.2    
0.185 	-11700.4    
0.195 	-11949.7    
0.205 	-12166.7    
0.215 	-12348.2    
0.225 	-12491.6    
0.235 	-12595      
0.245 	-12657.1    
0.255 	-12677.2    
0.265 	-12655.1    
0.275 	-12591.4    
0.285 	-12487      
0.295 	-12343.8    
0.305 	-12163.8    
0.315 	-11949.6    
0.325 	-11704.3    
0.335 	-11431.2    
0.345 	-11133.9    
0.355 	-10816.4    
0.365 	-10482.6    
0.375 	-10136.6    
0.385 	-9782.44    
0.395 	-9424.09    
0.405 	-9065.41    
0.415 	-8710.03    
0.425 	-8361.32    
0.435 	-8022.36    
0.445 	-7695.85    
0.455 	-7384.12    
0.465 	-7089.07    
0.475 	-6812.18    
0.485 	-6554.49    
0.495 	-6316.58    
0.505 	-6098.62    
0.515 	-5900.36    
0.525 	-5721.15    
0.535 	-5560.01    
0.545 	-5415.63    
0.555 	-5286.44    
0.565 	-5170.65    
0.575 	-5066.33    
0.585 	-4971.41    
0.595 	-4883.79    
0.605 	-4801.37    
0.615 	-4722.13    
0.625 	-4644.15    
0.635 	-4565.68    
0.645 	-4485.16    
0.655 	-4401.3     
0.665 	-4313.05    
0.675 	-4219.69    
0.685 	-4120.77    
0.695 	-4016.18    
0.705 	-3906.1     
0.715 	-3791.03    
0.725 	-3671.71    
0.735 	-3549.16    
0.745 	-3424.6     
0.755 	-3299.43    
0.765 	-3175.18    
0.775 	-3053.44    
0.785 	-2935.86    
0.795 	-2824.02    
0.805 	-2719.46    
0.815 	-2623.57    
0.825 	-2537.57    
0.835 	-2462.46    
0.845 	-2398.96    
0.855 	-2347.54    
0.865 	-2308.32    
0.875 	-2281.11    
0.885 	-2265.39    
0.895 	-2260.3     
0.905 	-2264.65    
0.915 	-2276.98    
0.925 	-2295.54    
0.935 	-2318.37    
0.945 	-2343.29    
0.955 	-2368.02    
0.965 	-2390.17    
0.975 	-2407.36    
0.985 	-2417.21    
0.995 	-2417.46    
1.005 	-2406.01    
1.015 	-2380.95    
1.025 	-2340.65    
1.035 	-2283.78    
1.045 	-2209.36    
1.055 	-2116.78    
1.065 	-2005.83    
1.075 	-1876.71    
1.085 	-1730.04    
1.095 	-1566.83    
1.105 	-1388.48    
1.115 	-1196.76    
1.125 	-993.738    
1.135 	-781.783    
1.145 	-563.48     
1.155 	-341.588    
1.165 	-118.978    
1.175 	101.431     
1.185 	316.736     
1.195 	524.109     
1.205 	720.864     
1.215 	904.507     
1.225 	1072.79     
1.235 	1223.78     
1.245 	1355.83     
1.255 	1467.7      
1.265 	1558.5      
1.275 	1627.76     
1.285 	1675.38     
1.295 	1701.68     
1.305 	1707.31     
1.315 	1693.31     
1.325 	1661.01     
1.335 	1612.02     
1.345 	1548.21     
1.355 	1471.59     
1.365 	1384.35     
1.375 	1288.73     
1.385 	1187.01     
1.395 	1081.44     
1.405 	974.214     
1.415 	867.393     
1.425 	762.889     
1.435 	662.418     
1.445 	567.478     
1.455 	479.325     
1.465 	398.955     
1.475 	327.104     
1.485 	264.242     
1.495 	210.582     
1.505 	166.095     
1.515 	130.524     
1.525 	103.412     
1.535 	84.1272     
1.545 	71.8942     
1.555 	65.8274     
1.565 	64.9639     
1.575 	68.2972     
1.585 	74.8103     
1.595 	83.506      
1.605 	93.4352     
1.615 	103.722     
1.625 	113.583     
1.635 	122.346     
1.645 	129.462     
1.655 	134.508     
1.665 	137.197     
1.675 	137.369     
1.685 	134.992     
1.695 	130.147     
1.705 	123.017     
1.715 	113.873     
1.725 	103.058     
1.735 	90.9632     
1.745 	78.0157     
1.755 	64.6556     
1.765 	51.3197     
