q      	cage        
0.005 	-7545.46    
0.015 	-7587.09    
0.025 	-7669.64    
0.035 	-7791.64    
0.045 	-7950.95    
0.055 	-8144.8     
0.065 	-8369.8     
0.075 	-8622.03    
0.085 	-8897.16    
0.095 	-9190.43    
0.105 	-9496.84    
0.115 	-9811.21    
0.125 	-10128.2    
0.135 	-10442.6    
0.145 	-10749.2    
0.155 	-11043      
0.165 	-11319.3    
0.175 	-11573.8    
0.185 	-11802.4    
0.195 	-12001.8    
0.205 	-12168.9    
0.215 	-12301.5    
0.225 	-12397.8    
0.235 	-12456.5    
0.245 	-12477.2    
0.255 	-12459.8    
0.265 	-12404.8    
0.275 	-12313.6    
0.285 	-12187.5    
0.295 	-12028.8    
0.305 	-11839.9    
0.315 	-11623.5    
0.325 	-11382.7    
0.335 	-11120.7    
0.345 	-10841.1    
0.355 	-10547.1    
0.365 	-10242.2    
0.375 	-9929.95    
0.385 	-9613.51    
0.395 	-9296.04    
0.405 	-8980.45    
0.415 	-8669.4     
0.425 	-8365.28    
0.435 	-8070.17    
0.445 	-7785.82    
0.455 	-7513.66    
0.465 	-7254.77    
0.475 	-7009.91    
0.485 	-6779.51    
0.495 	-6563.68    
0.505 	-6362.27    
0.515 	-6174.84    
0.525 	-6000.74    
0.535 	-5839.09    
0.545 	-5688.87    
0.555 	-5548.92    
0.565 	-5417.96    
0.575 	-5294.67    
0.585 	-5177.72    
0.595 	-5065.75    
0.605 	-4957.47    
0.615 	-4851.67    
0.625 	-4747.22    
0.635 	-4643.12    
0.645 	-4538.52    
0.655 	-4432.75    
0.665 	-4325.28    
0.675 	-4215.78    
0.685 	-4104.12    
0.695 	-3990.33    
0.705 	-3874.65    
0.715 	-3757.46    
0.725 	-3639.32    
0.735 	-3520.93    
0.745 	-3403.07    
0.755 	-3286.67    
0.765 	-3172.68    
0.775 	-3062.11    
0.785 	-2955.95    
0.795 	-2855.21    
0.805 	-2760.78    
0.815 	-2673.52    
0.825 	-2594.14    
0.835 	-2523.21    
0.845 	-2461.12    
0.855 	-2408.1     
0.865 	-2364.15    
0.875 	-2329.06    
0.885 	-2302.39    
0.895 	-2283.49    
0.905 	-2271.47    
0.915 	-2265.25    
0.925 	-2263.56    
0.935 	-2264.95    
0.945 	-2267.83    
0.955 	-2270.51    
0.965 	-2271.22    
0.975 	-2268.16    
0.985 	-2259.53    
0.995 	-2243.6     
1.005 	-2218.71    
1.015 	-2183.36    
1.025 	-2136.21    
1.035 	-2076.14    
1.045 	-2002.28    
1.055 	-1914.03    
1.065 	-1811.1     
1.075 	-1693.51    
1.085 	-1561.57    
1.095 	-1415.97    
1.105 	-1257.68    
1.115 	-1087.97    
1.125 	-908.405    
1.135 	-720.807    
1.145 	-527.204    
1.155 	-329.805    
1.165 	-130.952    
1.175 	66.9323     
1.185 	261.389     
1.195 	449.983     
1.205 	630.348     
1.215 	800.243     
1.225 	957.595     
1.235 	1100.55     
1.245 	1227.49     
1.255 	1337.12     
1.265 	1428.41     
1.275 	1500.69     
1.285 	1553.62     
1.295 	1587.22     
1.305 	1601.83     
1.315 	1598.11     
1.325 	1577.04     
1.335 	1539.88     
1.345 	1488.12     
1.355 	1423.46     
1.365 	1347.75     
1.375 	1262.99     
1.385 	1171.21     
1.395 	1074.5      
1.405 	974.887     
1.415 	874.37      
1.425 	774.814     
1.435 	677.947     
1.445 	585.316     
1.455 	498.265     
1.465 	417.914     
1.475 	345.145     
1.485 	280.592     
1.495 	224.647     
1.505 	177.461     
1.515 	138.957     
1.525 	108.849     
1.535 	86.661      
1.545 	71.7574     
1.555 	63.3673     
1.565 	60.6184     
1.575 	62.5681     
1.585 	68.2355     
1.595 	76.6332     
1.605 	86.7964     
1.615 	97.8101     
1.625 	108.834     
1.635 	119.12      
1.645 	128.031     
1.655 	135.053     
1.665 	139.798     
1.675 	142.012     
1.685 	141.568     
1.695 	138.464     
1.705 	132.813     
1.715 	124.826     
1.725 	114.805     
1.735 	103.116     
1.745 	90.1792     
1.755 	76.4438     
