q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	C_100-H_24   	H_100-C_14   	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-H_23   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_100-H_24   	H_200-H_15   	C_100-H_22   	H_200-N_7    	H_200-H_23   	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	H_200-H_24   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-H_23   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
0.005 	-6.37958    	-436.065    	-7.39072    	-45.4372    	-39.2294    	-37.273     	-7.28487    	-438.784    	-16.9599    	-39.5454    	-332.47     	-48.4676    	-40.8098    	-5.31382    	-50.1624    	-6.0031     	-40.8199    	-31.9443    	-6.50387    	-68.0815    	-50.3983    	-417.715    	-63.2497    	-424.472    	-36.4948    	-45.1845    	-473.704    	-46.3461    	-62.5918    	-6.17922    	-6.69166    	-8.70562    	-28.3857    	-54.6946    	-6.59006    	-52.8725    	-33.4336    	-563.916    	-65.3538    	-349.978    	-297.909    	-31.9832    	-37.476     	-48.1755    	-4.777      	-479.042    	-5.47997    	-49.7558    	-36.8867    	-424.654    	-7.86761    	-37.8544    	-400.969    	-6.01739    	-7.2592     	-44.1868    	-5.50306    	-7.99396    	-34.7097    	-289.16     	-39.5121    	-6.33417    	-46.5311    	-62.4342    	-62.08      	-4.74024    	-407.137    	-33.2133    	-44.7087    	-7.87728    	-37.7231    	-33.6225    
0.015 	-6.46527    	-437.04     	-7.47673    	-45.9211    	-39.801     	-37.9099    	-7.36334    	-439.574    	-17.8676    	-40.1203    	-334.641    	-48.8918    	-41.3688    	-5.41517    	-50.7752    	-6.09894    	-41.3868    	-32.5748    	-6.59752    	-68.2714    	-50.7921    	-419.017    	-63.4914    	-425.409    	-37.0825    	-45.6621    	-474.026    	-47.0173    	-62.8736    	-6.26927    	-6.78473    	-8.76855    	-29.0542    	-55.2827    	-6.68143    	-53.2246    	-34.0713    	-563.27     	-65.6092    	-353.286    	-300.716    	-32.6122    	-38.0109    	-48.85      	-4.90151    	-479.552    	-5.5773     	-50.1744    	-37.4554    	-425.435    	-7.93302    	-38.4226    	-402.101    	-6.12545    	-7.3407     	-44.7078    	-5.60834    	-8.06997    	-35.3287    	-293.344    	-40.1002    	-6.42818    	-47.0249    	-62.6974    	-62.3842    	-4.84699    	-408.54     	-33.8487    	-45.1784    	-7.94749    	-38.3089    	-34.2891    
0.025 	-6.63493    	-438.97     	-7.64711    	-46.8802    	-40.9322    	-39.1712    	-7.51845    	-441.139    	-19.6641    	-41.2589    	-338.947    	-49.7318    	-42.4757    	-5.61572    	-51.989     	-6.28864    	-42.5098    	-33.8212    	-6.78281    	-68.6484    	-51.5726    	-421.596    	-63.9701    	-427.278    	-38.2462    	-46.6077    	-474.674    	-48.3467    	-63.4318    	-6.44732    	-6.9691     	-8.89314    	-30.3769    	-56.4477    	-6.86236    	-53.9232    	-35.3316    	-562.007    	-66.1161    	-359.838    	-306.28     	-33.8571    	-39.0699    	-50.1859    	-5.14796    	-480.572    	-5.76988    	-51.0046    	-38.5811    	-426.991    	-8.06238    	-39.5464    	-404.351    	-6.33937    	-7.50179    	-45.7396    	-5.81681    	-8.22037    	-36.554     	-301.628    	-41.2654    	-6.61426    	-48.0038    	-63.2186    	-62.9874    	-5.05816    	-411.33     	-35.1069    	-46.1079    	-8.08649    	-39.4688    	-35.6076    
0.035 	-6.88515    	-441.814    	-7.89861    	-48.2968    	-42.5993    	-41.0318    	-7.74657    	-443.452    	-22.3118    	-42.9393    	-345.316    	-50.9712    	-44.1089    	-5.91124    	-53.7811    	-6.56834    	-44.167     	-35.6546    	-7.05576    	-69.2069    	-52.726     	-425.404    	-64.6764    	-430.066    	-39.9627    	-48.0022    	-475.652    	-50.3087    	-64.2563    	-6.70937    	-7.24125    	-9.07689    	-32.3252    	-58.1672    	-7.12925    	-54.9567    	-37.1849    	-560.182    	-66.8669    	-369.513    	-314.501    	-35.6921    	-40.6315    	-52.1575    	-5.51133    	-482.102    	-6.05355    	-52.2326    	-40.2407    	-429.316    	-8.25279    	-41.2015    	-407.692    	-6.65483    	-7.73867    	-47.2622    	-6.12433    	-8.442      	-38.361     	-313.85     	-42.9858    	-6.88865    	-49.4505    	-63.987     	-63.8796    	-5.36913    	-415.473    	-36.9633    	-47.4771    	-8.29145    	-41.1794    	-37.5487    
0.045 	-7.21091    	-445.512    	-8.22645    	-50.145     	-44.7675    	-43.4552    	-8.04238    	-446.472    	-25.7555    	-45.1292    	-353.643    	-52.5855    	-46.2365    	-6.29553    	-56.1176    	-6.93232    	-46.3265    	-38.0327    	-7.41048    	-69.9384    	-54.2318    	-430.372    	-65.5964    	-433.757    	-42.1978    	-49.8173    	-476.969    	-52.8656    	-65.3316    	-7.04949    	-7.596      	-9.31611    	-34.8572    	-60.4086    	-7.47683    	-56.3081    	-39.5876    	-557.875    	-67.8502    	-382.129    	-325.235    	-38.0791    	-42.6642    	-54.727     	-5.98419    	-484.142    	-6.42223    	-53.8377    	-42.4003    	-432.395    	-8.50002    	-43.3519    	-412.083    	-7.06548    	-8.0458     	-49.2462    	-6.52483    	-8.73017    	-40.7132    	-329.768    	-45.2291    	-7.24574    	-51.3397    	-64.9872    	-65.0459    	-5.77314    	-420.917    	-39.3814    	-49.2568    	-8.55826    	-43.4064    	-40.0696    
0.055 	-7.60567    	-449.984    	-8.62441    	-52.3912    	-47.3918    	-46.3939    	-8.39898    	-450.146    	-29.9239    	-47.7866    	-363.788    	-54.5433    	-48.8169    	-6.7605     	-58.9547    	-7.37319    	-48.9468    	-40.9007    	-7.8394     	-70.8319    	-56.0631    	-436.407    	-66.7121    	-438.324    	-44.9074    	-52.0167    	-478.631    	-55.9685    	-66.6379    	-7.46005    	-8.02664    	-9.60601    	-37.9188    	-63.1294    	-7.89823    	-57.9549    	-42.4835    	-555.188    	-69.0512    	-397.452    	-338.292    	-40.9687    	-45.1269    	-57.8451    	-6.55696    	-486.691    	-6.86802    	-55.7931    	-45.0159    	-436.21     	-8.79855    	-45.9508    	-417.468    	-7.56308    	-8.41598    	-51.6532    	-7.01041    	-9.07883    	-43.5633    	-349.073    	-47.9536    	-7.67832    	-53.6383    	-66.1988    	-66.4669    	-6.26141    	-427.597    	-42.314     	-51.4089    	-8.88152    	-46.1054    	-43.1152    
0.065 	-8.06155    	-455.136    	-9.08499    	-54.9945    	-50.4178    	-49.7906    	-8.80812    	-454.409    	-34.7312    	-50.861     	-375.583    	-56.8062    	-51.8004    	-7.29644    	-62.2393    	-7.882      	-51.9779    	-44.1929    	-8.33337    	-71.8742    	-58.1875    	-443.399    	-68.0018    	-443.735    	-48.0379    	-54.5564    	-480.647    	-59.5582    	-68.1512    	-7.93183    	-8.52506    	-9.94082    	-41.4446    	-66.2782    	-8.38516    	-59.8702    	-45.8051    	-552.242    	-70.4518    	-415.198    	-353.442    	-44.3015    	-47.9701    	-61.4527    	-7.21808    	-489.745    	-7.38143    	-58.0662    	-48.0345    	-440.734    	-9.14175    	-48.9423    	-423.779    	-8.13772    	-8.84057    	-54.4371    	-7.57155    	-9.48067    	-46.8544    	-371.388    	-51.1087    	-8.17764    	-56.3062    	-67.5973    	-68.1189    	-6.82337    	-435.43     	-45.7038    	-53.8877    	-9.25475    	-49.2227    	-46.6187    
0.075 	-8.56947    	-460.86     	-9.59955    	-57.9078    	-53.7833    	-53.5797    	-9.26033    	-459.185    	-40.0796    	-54.2942    	-388.832    	-59.3305    	-55.1295    	-7.89219    	-65.9106    	-8.4485     	-55.3622    	-47.8344    	-8.88189    	-73.0493    	-60.5672    	-451.218    	-69.4402    	-449.949    	-51.5282    	-57.3857    	-483.022    	-63.567     	-69.8436    	-8.45428    	-9.08191    	-10.3139    	-45.3599    	-69.7963    	-8.9281     	-62.022     	-49.4755    	-549.171    	-72.031     	-435.043    	-370.423    	-48.0092    	-51.137     	-65.4817    	-7.95435    	-493.296    	-7.95154    	-60.6191    	-51.3952    	-445.936    	-9.52199    	-52.2622    	-430.934    	-8.77804    	-9.30973    	-57.5449    	-8.19728    	-9.92732    	-50.5211    	-396.286    	-54.6365    	-8.73369    	-59.2971    	-69.1545    	-69.9747    	-7.44695    	-444.319    	-49.4855    	-56.6407    	-9.67049    	-52.6968    	-50.5043    
0.085 	-9.11935    	-467.035    	-10.1585    	-61.0787    	-57.4195    	-57.6887    	-9.74525    	-464.389    	-45.861     	-58.0218    	-403.317    	-62.0676    	-58.7409    	-8.53541    	-69.9009    	-9.06135    	-59.0361    	-51.7428    	-9.47339    	-74.3394    	-63.1601    	-459.723    	-70.9995    	-456.915    	-55.3103    	-60.4489    	-485.762    	-67.9196    	-71.6841    	-9.01579    	-9.68686    	-10.7179    	-49.5822    	-73.6187    	-9.51645    	-64.3748    	-53.4101    	-546.118    	-73.765     	-456.626    	-388.94     	-52.0167    	-54.5643    	-69.8568    	-8.75119    	-497.335    	-8.56632    	-63.4093    	-55.0306    	-451.772    	-9.93088    	-55.8395    	-438.839    	-9.47153    	-9.81261    	-60.9177    	-8.87549    	-10.4095    	-54.4909    	-423.292    	-58.4723    	-9.33537    	-62.5596    	-70.8389    	-72.0038    	-8.11879    	-454.154    	-53.5862    	-59.6102    	-10.1205    	-56.4596    	-54.6885    
0.095 	-9.70034    	-473.53     	-10.7516    	-64.4503    	-61.2529    	-62.0401    	-10.2518    	-469.928    	-51.9607    	-61.9747    	-418.799    	-64.9653    	-62.5664    	-9.21287    	-74.1374    	-9.70835    	-62.9313    	-55.8304    	-10.0955    	-75.7249    	-65.9203    	-468.76     	-72.6491    	-464.57     	-59.3113    	-63.686     	-488.863    	-72.5354    	-73.639     	-9.60392    	-10.3288    	-11.145     	-54.0233    	-77.6753    	-10.1389    	-66.8894    	-57.5192    	-543.231    	-75.6281    	-479.562    	-408.676    	-56.2431    	-58.1843    	-74.4974    	-9.59304    	-501.845    	-9.21288    	-66.3904    	-58.8683    	-458.19     	-10.3594    	-59.5987    	-447.389    	-10.2048    	-10.3377    	-64.4923    	-9.59312    	-10.9173    	-58.6861    	-451.899    	-62.5468    	-9.97079    	-66.0378    	-72.6168    	-74.1729    	-8.82463    	-464.811    	-57.9278    	-62.7341    	-10.5958    	-60.4381    	-59.0821    
