q      	cage        
0.005 	-12554.7    
0.015 	-12659.1    
0.025 	-12865.8    
0.035 	-13170.5    
0.045 	-13566.8    
0.055 	-14046.5    
0.065 	-14599.7    
0.075 	-15215.2    
0.085 	-15880.1    
0.095 	-16581.2    
0.105 	-17304.1    
0.115 	-18034.4    
0.125 	-18757.6    
0.135 	-19459.4    
0.145 	-20126.3    
0.155 	-20745.4    
0.165 	-21305.1    
0.175 	-21795.2    
0.185 	-22206.8    
0.195 	-22532.8    
0.205 	-22767.8    
0.215 	-22908.4    
0.225 	-22952.9    
0.235 	-22901.4    
0.245 	-22755.8    
0.255 	-22519.8    
0.265 	-22198.3    
0.275 	-21797.8    
0.285 	-21326      
0.295 	-20791.3    
0.305 	-20202.9    
0.315 	-19570.7    
0.325 	-18904.5    
0.335 	-18214.6    
0.345 	-17510.6    
0.355 	-16802.1    
0.365 	-16098.1    
0.375 	-15406.7    
0.385 	-14735.4    
0.395 	-14090.5    
0.405 	-13477.5    
0.415 	-12900.7    
0.425 	-12363.4    
0.435 	-11867.7    
0.445 	-11414.9    
0.455 	-11005.1    
0.465 	-10637.6    
0.475 	-10310.9    
0.485 	-10022.6    
0.495 	-9770.05    
0.505 	-9549.82    
0.515 	-9358.28    
0.525 	-9191.54    
0.535 	-9045.58    
0.545 	-8916.39    
0.555 	-8800.02    
0.565 	-8692.72    
0.575 	-8590.97    
0.585 	-8491.59    
0.595 	-8391.72    
0.605 	-8288.93    
0.615 	-8181.18    
0.625 	-8066.86    
0.635 	-7944.8     
0.645 	-7814.22    
0.655 	-7674.74    
0.665 	-7526.33    
0.675 	-7369.32    
0.685 	-7204.31    
0.695 	-7032.17    
0.705 	-6853.97    
0.715 	-6670.97    
0.725 	-6484.56    
0.735 	-6296.21    
0.745 	-6107.49    
0.755 	-5919.94    
0.765 	-5735.13    
0.775 	-5554.58    
0.785 	-5379.74    
0.795 	-5211.98    
0.805 	-5052.53    
0.815 	-4902.51    
0.825 	-4762.87    
0.835 	-4634.38    
0.845 	-4517.62    
0.855 	-4412.97    
0.865 	-4320.58    
0.875 	-4240.37    
0.885 	-4172.03    
0.895 	-4115       
0.905 	-4068.45    
0.915 	-4031.34    
0.925 	-4002.36    
0.935 	-3979.98    
0.945 	-3962.48    
0.955 	-3947.9     
0.965 	-3934.16    
0.975 	-3919.03    
0.985 	-3900.19    
0.995 	-3875.25    
1.005 	-3841.85    
1.015 	-3797.64    
1.025 	-3740.41    
1.035 	-3668.05    
1.045 	-3578.71    
1.055 	-3470.76    
1.065 	-3342.9     
1.075 	-3194.17    
1.085 	-3024.01    
1.095 	-2832.27    
1.105 	-2619.25    
1.115 	-2385.71    
1.125 	-2132.87    
1.135 	-1862.4     
1.145 	-1576.42    
1.155 	-1277.42    
1.165 	-968.27     
1.175 	-652.157    
1.185 	-332.507    
1.195 	-12.9345    
1.205 	302.839     
1.215 	611.058     
1.225 	908.016     
1.235 	1190.13     
1.245 	1454.04     
1.255 	1696.63     
1.265 	1915.17     
1.275 	2107.32     
1.285 	2271.21     
1.295 	2405.45     
1.305 	2509.19     
1.315 	2582.13     
1.325 	2624.5      
1.335 	2637.07     
1.345 	2621.12     
1.355 	2578.4      
1.365 	2511.09     
1.375 	2421.74     
1.385 	2313.19     
1.395 	2188.54     
1.405 	2051.02     
1.415 	1903.96     
1.425 	1750.68     
1.435 	1594.43     
1.445 	1438.31     
1.455 	1285.22     
1.465 	1137.79     
1.475 	998.323     
1.485 	868.766     
1.495 	750.686     
1.505 	645.247     
1.515 	553.208     
1.525 	474.923     
1.535 	410.366     
1.545 	359.149     
1.555 	320.564     
1.565 	293.621     
1.575 	277.099     
1.585 	269.593     
1.595 	269.576     
1.605 	275.449     
1.615 	285.593     
1.625 	298.429     
1.635 	312.455     
1.645 	326.296     
1.655 	338.735     
1.665 	348.742     
1.675 	355.494     
1.685 	358.39      
1.695 	357.05      
1.705 	351.317     
1.715 	341.242     
1.725 	327.071     
1.735 	309.215     
1.745 	288.23      
1.755 	264.781     
1.765 	239.61      
1.775 	213.505     
1.785 	187.261     
1.795 	161.652     
1.805 	137.399     
1.815 	115.146     
1.825 	95.4369     
1.835 	78.698      
1.845 	65.2275     
1.855 	55.1884     
1.865 	48.608      
1.875 	45.3819     
1.885 	45.2833     
1.895 	47.9763     
1.905 	53.033      
1.915 	59.9529     
1.925 	68.1851     
1.935 	77.1509     
1.945 	86.2665     
1.955 	94.9658     
1.965 	102.721     
1.975 	109.061     
1.985 	113.587     
1.995 	115.987     
2.005 	116.04      
2.015 	113.626     
2.025 	108.725     
2.035 	101.412     
2.045 	91.8556     
