q      	H_200-H_21   	H_200-C_7    	C_100-N_2    	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	H_100-N_2    	C_100-H_19   	H_200-H_16   	C_100-C_3    	H_100-C_14   	H_200-Br_23  	C_100-C_13   	C_100-H_15   	H_200-H_22   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_8    	H_200-C_12   	C_100-C_8    	C_100-C_5    	H_200-C_3    	C_100-Br_23  	H_100-Br_23  	C_100-C_10   	H_100-C_13   	H_200-C_5    	H_100-H_17   	C_100-N_1    	H_100-C_8    	H_200-H_15   	H_200-Br_24  	C_100-C_7    	C_100-H_22   	H_200-C_11   	C_100-H_17   	H_100-C_7    	C_100-Br_24  	C_100-C_14   	H_100-C_12   	C_100-H_21   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	H_100-N_1    	C_100-C_11   	H_100-H_16   	H_200-N_1    	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-Br_24  	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	H_200-N_2    	C_100-H_18  
0.005 	-9.77138    	-54.5249    	-412.872    	-322.913    	-7.3117     	-66.5606    	-43.1575    	-48.394     	-32.8494    	-4.524      	-451.533    	-37.629     	-246.239    	-608.755    	-16.0626    	-7.55594    	-45.7202    	-14.5942    	-5.97936    	-45.2485    	-53.284     	-303.583    	-251.705    	-52.4686    	-1641.06    	-201.789    	-357.437    	-52.8173    	-38.7357    	-6.695      	-537.656    	-37.0398    	-5.17878    	-382.083    	-382.461    	-43.1306    	-62.2135    	-25.9016    	-41.1625    	-2520.62    	-544.079    	-36.3774    	-57.2955    	-222.35     	-8.11214    	-46.9823    	-47.4332    	-49.2443    	-507.792    	-6.27956    	-65.9915    	-41.285     	-417.636    	-7.1489     	-7.03977    	-40.2712    	-5.56927    	-6.22145    	-59.4437    	-5.61838    	-46.1098    	-46.8723    	-36.5057    	-301.96     	-5.84781    	-314.55     	-33.2028    	-44.4538    	-6.26924    	-35.2233    	-56.1813    	-37.5109    
0.015 	-9.86639    	-55.1955    	-417.235    	-327.019    	-7.42317    	-67.0119    	-43.9175    	-49.3451    	-33.7206    	-4.68776    	-454.075    	-38.4742    	-250.383    	-608.812    	-17.2152    	-7.68064    	-46.4256    	-15.7477    	-6.12958    	-46.0448    	-53.9434    	-308.035    	-256.762    	-53.1783    	-1664.6     	-206.422    	-360.82     	-53.4411    	-39.6029    	-6.83564    	-540.439    	-37.9305    	-5.33694    	-384.33     	-385.778    	-43.9259    	-62.7491    	-26.9569    	-41.9961    	-2531.7     	-545.057    	-37.2511    	-57.8835    	-227.604    	-8.22568    	-47.6956    	-48.158     	-50.1833    	-509.251    	-6.41637    	-66.7566    	-42.1145    	-420.447    	-7.27074    	-7.18016    	-41.0904    	-5.7133     	-6.37295    	-59.9906    	-5.76027    	-46.8415    	-47.6398    	-37.3806    	-305.112    	-5.99123    	-318.565    	-34.0917    	-45.2371    	-6.40177    	-36.0972    	-57.0642    	-38.4286    
0.025 	-10.0544    	-56.5237    	-425.879    	-335.155    	-7.64362    	-67.9054    	-45.4217    	-51.228     	-35.4426    	-5.01178    	-459.116    	-40.1466    	-258.581    	-608.935    	-19.4945    	-7.92749    	-47.8211    	-18.0297    	-6.42696    	-47.6219    	-55.2498    	-316.853    	-266.767    	-54.5835    	-1711.15    	-215.584    	-367.523    	-54.6751    	-41.3184    	-7.11402    	-545.958    	-39.6936    	-5.6497     	-388.769    	-392.352    	-45.4999    	-63.8098    	-29.0456    	-43.646     	-2553.6     	-547.005    	-38.9804    	-59.0473    	-238.005    	-8.45028    	-49.1083    	-49.5921    	-52.0422    	-512.148    	-6.68707    	-68.2717    	-43.7569    	-426.019    	-7.51158    	-7.45806    	-42.7118    	-5.99823    	-6.67287    	-61.0745    	-6.04087    	-48.2888    	-49.1602    	-39.1127    	-311.343    	-6.27506    	-326.508    	-35.8501    	-46.7877    	-6.664      	-37.8261    	-58.8126    	-40.2455    
0.035 	-10.3315    	-58.4837    	-438.642    	-347.173    	-7.96811    	-69.2229    	-47.6384    	-54.0047    	-37.9759    	-5.48915    	-466.564    	-42.6104    	-270.656    	-609.135    	-22.849     	-8.29151    	-49.8763    	-21.3912    	-6.86541    	-49.9495    	-57.1784    	-329.869    	-281.501    	-56.6561    	-1779.69    	-229.07     	-377.417    	-56.4924    	-43.8449    	-7.52441    	-554.12     	-42.2934    	-6.11002    	-395.293    	-402.064    	-47.8204    	-65.375     	-32.1246    	-46.0778    	-2585.77    	-549.907    	-41.5295    	-60.7631    	-253.346    	-8.78112    	-51.1925    	-51.705     	-54.7834    	-516.445    	-7.08589    	-70.5071    	-46.179     	-434.256    	-7.86585    	-7.86782    	-45.1015    	-6.41792    	-7.11514    	-62.6756    	-6.45388    	-50.4199    	-51.4044    	-41.6672    	-320.504    	-6.69336    	-338.202    	-38.4392    	-49.0739    	-7.05035    	-40.3727    	-61.3922    	-42.9248    
0.045 	-10.6918    	-61.0377    	-455.284    	-362.849    	-8.3894     	-70.9379    	-50.5212    	-57.6193    	-41.262     	-6.10973    	-476.287    	-45.8131    	-286.345    	-609.433    	-27.2033    	-8.76531    	-52.5466    	-25.76      	-7.436      	-52.9827    	-59.693     	-346.834    	-300.643    	-59.3545    	-1868.7     	-246.581    	-390.315    	-58.8533    	-47.1278    	-8.05835    	-564.785    	-45.6771    	-6.7076     	-403.744    	-414.737    	-50.8396    	-67.4142    	-36.1304    	-49.2412    	-2627.42    	-553.737    	-44.8457    	-62.9957    	-273.321    	-9.21107    	-53.907     	-54.4518    	-58.3513    	-522.082    	-7.60432    	-73.4189    	-49.332     	-445.012    	-8.32537    	-8.40112    	-48.2099    	-6.96331    	-7.69083    	-64.7645    	-6.99006    	-53.1885    	-54.3297    	-44.993     	-332.378    	-7.23739    	-353.391    	-41.8021    	-52.049     	-7.55261    	-43.682     	-64.7523    	-46.4125    
0.055 	-11.1279    	-64.1363    	-475.496    	-381.898    	-8.89811    	-73.0158    	-54.01      	-61.9991    	-45.2254    	-6.86035    	-488.113    	-49.6865    	-305.309    	-609.852    	-32.4599    	-9.33932    	-55.7741    	-31.0427    	-8.12714    	-56.6632    	-62.7462    	-367.427    	-323.779    	-62.625     	-1976.24    	-267.725    	-405.972    	-61.7065    	-51.0962    	-8.70492    	-577.774    	-49.7763    	-7.42906    	-413.919    	-430.144    	-54.4958    	-69.8878    	-40.9808    	-53.0709    	-2677.53    	-558.461    	-48.8608    	-65.6996    	-297.531    	-9.73088    	-57.1985    	-57.7745    	-62.6741    	-528.981    	-8.23136    	-76.9502    	-53.1528    	-458.1      	-8.87952    	-9.04714    	-51.9726    	-7.62265    	-8.38835    	-67.3033    	-7.63743    	-56.534     	-57.8806    	-49.0233    	-346.686    	-7.89579    	-371.741    	-45.8654    	-55.6525    	-8.16013    	-47.683     	-68.8273    	-50.6385    
0.065 	-11.6306    	-67.72      	-498.902    	-403.972    	-9.48292    	-75.4146    	-58.0322    	-67.0567    	-49.7755    	-7.72518    	-501.831    	-54.1488    	-327.138    	-610.416    	-38.5016    	-10.002     	-59.4892    	-37.1267    	-8.92487    	-60.9205    	-66.2807    	-391.256    	-350.411    	-66.4028    	-2099.93    	-292.034    	-424.091    	-64.9904    	-55.6649    	-9.45093    	-592.867    	-54.5085    	-8.25838    	-425.572    	-448.005    	-58.7142    	-72.748     	-46.5769    	-57.4882    	-2734.87    	-564.034    	-53.4924    	-68.8195    	-325.496    	-10.3294    	-61.0026    	-61.6029    	-67.665     	-537.044    	-8.95374    	-81.0322    	-57.565     	-473.29     	-9.51559    	-9.79289    	-56.3119    	-8.38182    	-9.19373    	-70.2456    	-8.38159    	-60.3841    	-61.99      	-53.6779    	-363.09     	-8.65488    	-392.853    	-50.5405    	-59.8115    	-8.86008    	-52.29      	-73.5379    	-55.5185    
0.075 	-12.1895    	-71.7202    	-525.067    	-428.667    	-10.1309    	-78.0861    	-62.5047    	-72.6914    	-54.8088    	-8.68607    	-517.2      	-59.1059    	-351.363    	-611.151    	-45.195     	-10.7401    	-63.6123    	-43.8833    	-9.81315    	-65.6736    	-70.2305    	-417.874    	-379.968    	-70.6132    	-2237.08    	-318.97     	-444.331    	-68.634     	-60.7364    	-10.2813    	-609.808    	-59.779     	-9.17723    	-438.421    	-468.001    	-63.4093    	-75.9394    	-52.8053    	-62.4028    	-2798.02    	-570.4      	-58.646     	-72.292     	-356.665    	-10.9939    	-65.2447    	-65.857     	-73.2243    	-546.156    	-9.75624    	-85.5858    	-62.4812    	-490.317    	-10.219     	-10.6234    	-61.1386    	-9.2246     	-10.0909    	-73.5376    	-9.20605    	-64.6554    	-66.5803    	-58.8645    	-381.204    	-9.49898    	-416.268    	-55.7259    	-64.4422    	-9.63773    	-57.405     	-78.7929    	-60.9556    
0.085 	-12.7929    	-76.0609    	-553.512    	-455.537    	-10.8278    	-80.9766    	-67.3354    	-78.7919    	-60.2116    	-9.72298    	-533.948    	-64.4539    	-377.464    	-612.081    	-52.3931    	-11.5388    	-68.0552    	-51.1708    	-10.7743    	-70.8325    	-74.5218    	-446.783    	-411.823    	-75.1739    	-2384.69    	-347.939    	-466.308    	-72.5594    	-66.2033    	-11.1792    	-628.311    	-65.4831    	-10.1654    	-452.155    	-489.775    	-68.4863    	-79.4006    	-59.5408    	-67.7153    	-2865.43    	-577.491    	-64.2172    	-76.047     	-390.427    	-11.7103    	-69.8424    	-70.4479    	-79.2419    	-556.185    	-10.622     	-90.5232    	-67.8044    	-508.884    	-10.9738    	-11.5222    	-66.3543    	-10.1331    	-11.0623    	-77.1194    	-10.0927    	-69.2565    	-71.5658    	-64.4809    	-400.602    	-10.4107    	-441.482    	-61.3098    	-69.4522    	-10.4768    	-62.9197    	-84.491     	-66.8427    
0.095 	-13.4286    	-80.66      	-583.714    	-484.099    	-11.5583    	-84.0283    	-72.4259    	-85.2387    	-65.8631    	-10.8145    	-551.783    	-70.0819    	-404.884    	-613.223    	-59.9397    	-12.3823    	-72.724     	-58.8375    	-11.7892    	-76.3004    	-79.0751    	-477.445    	-445.307    	-79.9961    	-2539.57    	-378.308    	-489.609    	-76.683     	-71.9511    	-12.1268    	-648.063    	-71.5084    	-11.2015    	-466.442    	-512.937    	-73.8437    	-83.0651    	-66.6495    	-73.319     	-2935.42    	-585.224    	-70.0939    	-80.0088    	-426.125    	-12.4635    	-74.7063    	-75.2811    	-85.5993    	-566.981    	-11.5331    	-95.7501    	-73.4303    	-528.666    	-11.7629    	-12.4716    	-71.8533    	-11.0881    	-12.0887    	-80.9255    	-11.022     	-74.0893    	-76.8536    	-70.417     	-420.831    	-11.3715    	-467.956    	-67.1729    	-74.7422    	-11.3599    	-68.7184    	-90.5236    	-73.0651    
