q      	cage        
0.005 	-10725.8    
0.015 	-10840.6    
0.025 	-11068.1    
0.035 	-11403.7    
0.045 	-11840.9    
0.055 	-12371.1    
0.065 	-12984      
0.075 	-13667.7    
0.085 	-14409      
0.095 	-15193.8    
0.105 	-16007.1    
0.115 	-16833.7    
0.125 	-17658.1    
0.135 	-18465.2    
0.145 	-19240.3    
0.155 	-19969.6    
0.165 	-20640.4    
0.175 	-21241.2    
0.185 	-21762.3    
0.195 	-22195.2    
0.205 	-22533.6    
0.215 	-22772.8    
0.225 	-22910.3    
0.235 	-22945.2    
0.245 	-22878.5    
0.255 	-22713      
0.265 	-22453.2    
0.275 	-22104.9    
0.285 	-21675.3    
0.295 	-21172.6    
0.305 	-20606.1    
0.315 	-19985.4    
0.325 	-19320.7    
0.335 	-18622.5    
0.345 	-17900.9    
0.355 	-17166.2    
0.365 	-16428      
0.375 	-15695.3    
0.385 	-14976.5    
0.395 	-14278.9    
0.405 	-13609.2    
0.415 	-12972.6    
0.425 	-12373.7    
0.435 	-11815.7    
0.445 	-11300.9    
0.455 	-10830.5    
0.465 	-10404.8    
0.475 	-10023.1    
0.485 	-9684.03    
0.495 	-9385.45    
0.505 	-9124.65    
0.515 	-8898.43    
0.525 	-8703.27    
0.535 	-8535.37    
0.545 	-8390.82    
0.555 	-8265.66    
0.565 	-8156       
0.575 	-8058.12    
0.585 	-7968.49    
0.595 	-7883.87    
0.605 	-7801.37    
0.615 	-7718.43    
0.625 	-7632.91    
0.635 	-7543.04    
0.645 	-7447.5     
0.655 	-7345.31    
0.665 	-7235.92    
0.675 	-7119.1     
0.685 	-6994.97    
0.695 	-6863.95    
0.705 	-6726.72    
0.715 	-6584.16    
0.725 	-6437.37    
0.735 	-6287.57    
0.745 	-6136.1     
0.755 	-5984.34    
0.765 	-5833.73    
0.775 	-5685.68    
0.785 	-5541.58    
0.795 	-5402.72    
0.805 	-5270.32    
0.815 	-5145.45    
0.825 	-5029.01    
0.835 	-4921.75    
0.845 	-4824.21    
0.855 	-4736.71    
0.865 	-4659.33    
0.875 	-4591.95    
0.885 	-4534.14    
0.895 	-4485.28    
0.905 	-4444.44    
0.915 	-4410.5     
0.925 	-4382.07    
0.935 	-4357.56    
0.945 	-4335.18    
0.955 	-4312.95    
0.965 	-4288.79    
0.975 	-4260.49    
0.985 	-4225.8     
0.995 	-4182.44    
1.005 	-4128.18    
1.015 	-4060.87    
1.025 	-3978.5     
1.035 	-3879.25    
1.045 	-3761.54    
1.055 	-3624.08    
1.065 	-3465.9     
1.075 	-3286.42    
1.085 	-3085.47    
1.095 	-2863.26    
1.105 	-2620.5     
1.115 	-2358.3     
1.125 	-2078.23    
1.135 	-1782.29    
1.145 	-1472.87    
1.155 	-1152.73    
1.165 	-824.944    
1.175 	-492.85     
1.185 	-159.986    
1.195 	169.977     
1.205 	493.312     
1.215 	806.308     
1.225 	1105.35     
1.235 	1387        
1.245 	1648.05     
1.255 	1885.62     
1.265 	2097.21     
1.275 	2280.73     
1.285 	2434.59     
1.295 	2557.68     
1.305 	2649.44     
1.315 	2709.83     
1.325 	2739.36     
1.335 	2739.04     
1.345 	2710.38     
1.355 	2655.34     
1.365 	2576.26     
1.375 	2475.84     
1.385 	2357.05     
1.395 	2223.04     
1.405 	2077.13     
1.415 	1922.65     
1.425 	1762.93     
1.435 	1601.2      
1.445 	1440.52     
1.455 	1283.73     
1.465 	1133.38     
1.475 	991.706     
1.485 	860.567     
1.495 	741.446     
1.505 	635.423     
1.515 	543.177     
1.525 	464.988     
1.535 	400.764     
1.545 	350.059     
1.555 	312.118     
1.565 	285.911     
1.575 	270.187     
1.585 	263.52      
1.595 	264.367     
1.605 	271.119     
1.615 	282.154     
1.625 	295.888     
1.635 	310.818     
1.645 	325.566     
1.655 	338.911     
1.665 	349.816     
1.675 	357.448     
1.685 	361.19      
1.695 	360.645     
1.705 	355.632     
1.715 	346.177     
1.725 	332.495     
1.735 	314.97      
1.745 	294.125     
1.755 	270.597     
1.765 	245.103     
1.775 	218.406     
1.785 	191.285     
1.795 	164.503     
1.805 	138.781     
1.815 	114.767     
1.825 	93.0191     
1.835 	73.9892     
1.845 	58.0079     
1.855 	45.2796     
1.865 	35.8808     
1.875 	29.7626     
1.885 	26.7585     
1.895 	26.5965     
1.905 	28.914      
1.915 	33.2755     
1.925 	39.1926     
1.935 	46.1448     
1.945 	53.6009     
1.955 	61.0391     
1.965 	67.967      
1.975 	73.9385     
1.985 	78.5691     
1.995 	81.5479     
2.005 	82.6458     
2.015 	81.7212     
2.025 	78.7215     
2.035 	73.6813     
2.045 	66.7171     
2.055 	58.0198     
2.065 	47.8438     
2.075 	36.4945     
2.085 	24.3147     
2.095 	11.6691     
2.105 	-1.07038    
2.115 	-13.5397    
2.125 	-25.3966    
2.135 	-36.3334    
2.145 	-46.0875    
2.155 	-54.4505    
2.165 	-61.2743    
2.175 	-66.4748    
2.185 	-70.0331    
2.195 	-71.9941    
2.205 	-72.4625    
2.215 	-71.5967    
2.225 	-69.6013    
2.235 	-66.7168    
2.245 	-63.2099    
2.255 	-59.3617    
2.265 	-55.4562    
2.275 	-51.7694    
2.285 	-48.5587    
2.295 	-46.053     
2.305 	-44.4448    
2.315 	-43.884     
2.325 	-44.4726    
2.335 	-46.2624    
2.345 	-49.2545    
2.355 	-53.4002    
2.365 	-58.6044    
2.375 	-64.7305    
2.385 	-71.6065    
2.395 	-79.0329    
2.405 	-86.7907    
2.415 	-94.6501    
2.425 	-102.38     
2.435 	-109.757    
2.445 	-116.571    
2.455 	-122.639    
2.465 	-127.802    
2.475 	-131.939    
2.485 	-134.965    
2.495 	-136.836    
2.505 	-137.546    
2.515 	-137.132    
2.525 	-135.662    
2.535 	-133.241    
2.545 	-129.998    
2.555 	-126.087    
2.565 	-121.673    
2.575 	-116.93     
2.585 	-112.033    
2.595 	-107.15     
2.605 	-102.438    
2.615 	-98.0323    
2.625 	-94.0471    
2.635 	-90.5684    
2.645 	-87.6526    
2.655 	-85.3246    
2.665 	-83.5783    
2.675 	-82.3773    
2.685 	-81.6574    
2.695 	-81.3302    
2.705 	-81.2873    
2.715 	-81.4051    
2.725 	-81.5508    
2.735 	-81.5877    
2.745 	-81.3815    
2.755 	-80.8055    
2.765 	-79.7462    
2.775 	-78.1077    
2.785 	-75.8156    
2.795 	-72.8201    
2.805 	-69.098     
2.815 	-64.6531    
2.825 	-59.5167    
2.835 	-53.7461    
2.845 	-47.4221    
2.855 	-40.6463    
2.865 	-33.5374    
2.875 	-26.2262    
2.885 	-18.8514    
2.895 	-11.5541    
2.905 	-4.47307    
2.915 	2.26023     
2.925 	8.52629     
2.935 	14.2214     
2.945 	19.2613     
2.955 	23.5833     
2.965 	27.1484     
2.975 	29.9422     
2.985 	31.9743     
2.995 	33.2781     
3.005 	33.9082     
3.015 	33.9385     
3.025 	33.4586     
3.035 	32.5704     
3.045 	31.3838     
3.055 	30.0125     
3.065 	28.5699     
3.075 	27.1647     
3.085 	25.897      
3.095 	24.8553     
3.105 	24.1129     
3.115 	23.7262     
3.125 	23.7327     
3.135 	24.1503     
3.145 	24.9775     
3.155 	26.1936     
3.165 	27.7604     
3.175 	29.6242     
3.185 	31.7181     
3.195 	33.9653     
3.205 	36.282      
3.215 	38.5815     
3.225 	40.777      
3.235 	42.7855     
3.245 	44.5305     
3.255 	45.9457     
3.265 	46.9765     
3.275 	47.5823     
3.285 	47.738      
3.295 	47.4343     
3.305 	46.6783     
3.315 	45.4922     
3.325 	43.9129     
3.335 	41.9901     
3.345 	39.784      
3.355 	37.3632     
3.365 	34.8017     
3.375 	32.176      
3.385 	29.5626     
3.395 	27.0349     
3.405 	24.6603     
3.415 	22.4984     
3.425 	20.5987     
3.435 	18.999      
3.445 	17.7242     
3.455 	16.7862     
3.465 	16.1833     
3.475 	15.9009     
3.485 	15.9125     
3.495 	16.181      
3.505 	16.6603     
3.515 	17.2976     
3.525 	18.0353     
3.535 	18.8137     
3.545 	19.5734     
3.555 	20.2573     
3.565 	20.8131     
3.575 	21.195      
3.585 	21.3656     
3.595 	21.2969     
3.605 	20.9714     
3.615 	20.3825     
3.625 	19.5342     
3.635 	18.4414     
3.645 	17.1284     
3.655 	15.6279     
3.665 	13.98       
3.675 	12.2297     
3.685 	10.4257     
3.695 	8.61796     
3.705 	6.85605     
3.715 	5.18692     
3.725 	3.65327     
3.735 	2.29187     
3.745 	1.13231     
3.755 	0.195858    
3.765 	-0.505141   
3.775 	-0.967647   
3.785 	-1.19787    
3.795 	-1.21088    
3.805 	-1.02989    
3.815 	-0.685202   
3.825 	-0.212952   
3.835 	0.346399    
3.845 	0.949678    
3.855 	1.55271     
3.865 	2.11201     
3.875 	2.58646     
3.885 	2.93882     
3.895 	3.13709     
3.905 	3.15564     
3.915 	2.97607     
3.925 	2.5878      
3.935 	1.98832     
3.945 	1.18315     
3.955 	0.185494    
3.965 	-0.984391   
3.975 	-2.3001     
3.985 	-3.73017    
3.995 	-5.23936    
4.005 	-6.79005    
4.015 	-8.34368    
4.025 	-9.86219    
4.035 	-11.3095    
4.045 	-12.6526    
4.055 	-13.8632    
4.065 	-14.9179    
4.075 	-15.7997    
4.085 	-16.4979    
4.095 	-17.0089    
4.105 	-17.3354    
4.115 	-17.487     
4.125 	-17.4786    
4.135 	-17.3308    
4.145 	-17.0681    
4.155 	-16.7181    
4.165 	-16.3104    
4.175 	-15.8754    
4.185 	-15.4429    
4.195 	-15.0411    
4.205 	-14.6955    
4.215 	-14.4277    
4.225 	-14.2549    
4.235 	-14.1895    
4.245 	-14.238     
4.255 	-14.4015    
4.265 	-14.6757    
4.275 	-15.0508    
4.285 	-15.5122    
4.295 	-16.0413    
4.305 	-16.6161    
4.315 	-17.2124    
4.325 	-17.8043    
4.335 	-18.3657    
4.345 	-18.8711    
4.355 	-19.2968    
4.365 	-19.6214    
4.375 	-19.8271    
4.385 	-19.8999    
4.395 	-19.8303    
4.405 	-19.6136    
4.415 	-19.2498    
4.425 	-18.7437    
4.435 	-18.1046    
4.445 	-17.346     
4.455 	-16.4846    
4.465 	-15.5399    
4.475 	-14.5334    
4.485 	-13.4877    
4.495 	-12.4257    
4.505 	-11.3693    
4.515 	-10.3392    
4.525 	-9.35384    
4.535 	-8.42861    
4.545 	-7.5756     
4.555 	-6.80313    
4.565 	-6.11549    
4.575 	-5.51298    
4.585 	-4.99194    
4.595 	-4.5451     
4.605 	-4.1619     
4.615 	-3.82911    
4.625 	-3.53139    
4.635 	-3.25204    
4.645 	-2.97371    
4.655 	-2.6792     
4.665 	-2.35214    
4.675 	-1.97775    
4.685 	-1.54341    
4.695 	-1.0392     
4.705 	-0.45831    
4.715 	0.202695    
4.725 	0.943733    
4.735 	1.76121     
4.745 	2.64819     
4.755 	3.59464     
4.765 	4.58786     
4.775 	5.61297     
4.785 	6.65348     
4.795 	7.69197     
4.805 	8.71071     
4.815 	9.69236     
4.825 	10.6206     
4.835 	11.4807     
4.845 	12.2602     
4.855 	12.949      
4.865 	13.5402     
4.875 	14.0298     
4.885 	14.417      
4.895 	14.7043     
4.905 	14.897      
4.915 	15.0032     
4.925 	15.0332     
4.935 	14.9993     
4.945 	14.9149     
4.955 	14.7943     
4.965 	14.6516     
4.975 	14.5007     
4.985 	14.3542     
4.995 	14.2233     
5.005 	14.117      
5.015 	14.042      
5.025 	14.0022     
5.035 	13.999      
5.045 	14.0307     
5.055 	14.0929     
5.065 	14.1787     
5.075 	14.279      
5.085 	14.3827     
5.095 	14.4775     
5.105 	14.5501     
5.115 	14.5869     
5.125 	14.5749     
5.135 	14.5014     
5.145 	14.3555     
5.155 	14.1279     
5.165 	13.8117     
5.175 	13.4024     
5.185 	12.8985     
5.195 	12.3014     
5.205 	11.6151     
5.215 	10.8468     
5.225 	10.006      
5.235 	9.10482     
5.245 	8.15696     
5.255 	7.17773     
5.265 	6.18333     
5.275 	5.19032     
5.285 	4.2151      
5.295 	3.27333     
5.305 	2.37941     
5.315 	1.54602     
5.325 	0.783708    
5.335 	0.100559    
5.345 	-0.498032   
5.355 	-1.0095     
5.365 	-1.43415    
5.375 	-1.77507    
5.385 	-2.03797    
5.395 	-2.23094    
5.405 	-2.36406    
5.415 	-2.44905    
5.425 	-2.49875    
5.435 	-2.52665    
5.445 	-2.54639    
5.455 	-2.57124    
5.465 	-2.6136     
5.475 	-2.6846     
5.485 	-2.79364    
5.495 	-2.94815    
5.505 	-3.15328    
5.515 	-3.4118     
5.525 	-3.72399    
5.535 	-4.08773    
5.545 	-4.49855    
5.555 	-4.9499     
5.565 	-5.43335    
5.575 	-5.93903    
5.585 	-6.45591    
5.595 	-6.9723     
5.605 	-7.47627    
5.615 	-7.95605    
5.625 	-8.4005     
5.635 	-8.79948    
5.645 	-9.14421    
5.655 	-9.42753    
5.665 	-9.64414    
5.675 	-9.79078    
5.685 	-9.86623    
5.695 	-9.87135    
5.705 	-9.80901    
5.715 	-9.68387    
5.725 	-9.50224    
5.735 	-9.27175    
5.745 	-9.00104    
5.755 	-8.69945    
5.765 	-8.37661    
5.775 	-8.04212    
5.785 	-7.70517    
5.795 	-7.37424    
5.805 	-7.05677    
5.815 	-6.75898    
5.825 	-6.48564    
5.835 	-6.23996    
5.845 	-6.02354    
5.855 	-5.83635    
5.865 	-5.67685    
5.875 	-5.54206    
5.885 	-5.42779    
5.895 	-5.32881    
5.905 	-5.23919    
5.915 	-5.1525     
5.925 	-5.06215    
5.935 	-4.96168    
5.945 	-4.84503    
5.955 	-4.70682    
5.965 	-4.54254    
5.975 	-4.34877    
5.985 	-4.12329    
5.995 	-3.86521    
6.005 	-3.57493    
6.015 	-3.25419    
6.025 	-2.90595    
6.035 	-2.5343     
6.045 	-2.14425    
6.055 	-1.74158    
6.065 	-1.33258    
6.075 	-0.92381    
6.085 	-0.52187    
6.095 	-0.133133   
6.105 	0.236476    
