q      	H_200-H_21   	H_200-C_7    	C_100-N_2    	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	H_100-N_2    	C_100-H_19   	H_200-H_16   	C_100-C_3    	H_100-C_14   	H_200-Br_23  	C_100-C_13   	C_100-H_15   	H_200-H_22   	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_8    	H_200-C_12   	C_100-C_8    	C_100-C_5    	H_200-C_3    	C_100-Br_23  	H_100-Br_23  	C_100-C_10   	H_100-C_13   	H_200-C_5    	H_100-H_17   	C_100-N_1    	H_100-C_8    	H_200-H_15   	H_200-Br_24  	C_100-C_7    	C_100-H_22   	H_200-C_11   	C_100-H_17   	H_100-C_7    	C_100-Br_24  	C_100-C_14   	H_100-C_12   	C_100-H_21   	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	H_100-N_1    	C_100-C_11   	H_100-H_16   	H_200-N_1    	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-Br_24  	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	H_200-N_2    	C_100-H_18  
0.005 	-7.83255    	-54.4994    	-524.625    	-428.002    	-5.36601    	-62.9907    	-38.0931    	-37.7005    	-34.408     	-3.13563    	-409.405    	-30.943     	-241.019    	-547.191    	-11.1867    	-4.13249    	-37.0303    	-2.16645    	-4.85098    	-28.5263    	-35.4288    	-197.262    	-264.371    	-51.5831    	-1353.93    	-214.018    	-257.684    	-42.7675    	-42.0549    	-6.29973    	-399.353    	-28.2226    	-4.94482    	-324.412    	-418.244    	-15.2951    	-57.1121    	-48.8634    	-41.8424    	-1761.01    	-419.653    	-29.3484    	-41.6394    	-241.662    	-7.14958    	-36.587     	-42.6106    	-34.5058    	-454.185    	-4.95119    	-59.2492    	-25.7639    	-253.843    	-6.97555    	-7.99706    	-26.9269    	-4.60749    	-1.44763    	-49.2716    	-4.74641    	-49.1336    	-48.3069    	-30.9631    	-249.054    	-3.98747    	-364.663    	-16.3454    	-35.3768    	-5.77858    	-29.6048    	-63.6292    	1.99566     
0.015 	-7.92648    	-54.9928    	-526.204    	-429.61     	-5.49075    	-63.346     	-38.7945    	-38.5971    	-35.149     	-3.28655    	-411.349    	-31.6803    	-244.237    	-547.255    	-12.2216    	-4.26549    	-37.7427    	-3.31718    	-4.98319    	-29.3214    	-36.1092    	-201.856    	-268.104    	-52.1026    	-1375.06    	-217.485    	-261.313    	-43.4056    	-42.6886    	-6.41861    	-402.596    	-29.0282    	-5.07502    	-326.872    	-420.123    	-16.2405    	-57.5554    	-49.4544    	-42.5051    	-1779.04    	-421.11     	-30.1165    	-42.2892    	-245.611    	-7.25292    	-37.2539    	-43.2537    	-35.4514    	-455.488    	-5.07925    	-59.8537    	-26.6108    	-257.544    	-7.07863    	-8.09392    	-27.743     	-4.73552    	-1.62391    	-49.7589    	-4.87164    	-49.6682    	-48.8477    	-31.7234    	-252.463    	-4.1226     	-367.112    	-17.2767    	-36.1259    	-5.8975     	-30.3677    	-64.1728    	0.771851    
0.025 	-8.11246    	-55.9716    	-529.353    	-432.812    	-5.73746    	-64.0503    	-40.1833    	-40.3733    	-36.6146    	-3.58535    	-415.212    	-33.1399    	-250.605    	-547.396    	-14.2699    	-4.52887    	-39.1526    	-5.59436    	-5.24509    	-30.8971    	-37.4574    	-210.961    	-275.503    	-53.1333    	-1416.87    	-224.343    	-268.502    	-44.6683    	-43.9441    	-6.6541     	-409.031    	-30.6242    	-5.3328     	-331.734    	-423.858    	-18.112     	-58.4344    	-50.6256    	-43.8179    	-1814.68    	-424.007    	-31.6377    	-43.5755    	-253.436    	-7.45745    	-38.5749    	-44.5272    	-37.3245    	-458.079    	-5.33277    	-61.0532    	-28.2883    	-264.88     	-7.28259    	-8.28592    	-29.3587    	-4.98888    	-1.97298    	-50.725     	-5.1194     	-50.7272    	-49.9206    	-33.2297    	-259.201    	-4.39012    	-371.966    	-19.119     	-37.6097    	-6.13297    	-31.8778    	-65.2521    	-1.65092    
0.035 	-8.38677    	-57.4194    	-534.052    	-437.58     	-6.10068    	-65.0917    	-42.232     	-42.9957    	-38.7727    	-4.026      	-420.95     	-35.292     	-259.985    	-547.632    	-17.2893    	-4.91741    	-41.2302    	-8.95008    	-5.63175    	-33.2247    	-39.449     	-224.408    	-286.431    	-54.6586    	-1478.43    	-234.444    	-279.114    	-46.5292    	-45.7983    	-7.00168    	-418.562    	-32.9802    	-5.713      	-338.887    	-429.403    	-20.8712    	-59.7338    	-52.3562    	-45.7563    	-1867.09    	-428.307    	-33.8821    	-45.4722    	-264.993    	-7.75894    	-40.5247    	-46.4056    	-40.0891    	-461.931    	-5.70658    	-62.829     	-30.764     	-275.716    	-7.58302    	-8.56967    	-31.742     	-5.36219    	-2.488      	-52.1531    	-5.48432    	-52.2905    	-51.5091    	-35.4534    	-269.112    	-4.78459    	-379.137    	-21.8326    	-39.7997    	-6.48027    	-34.1042    	-66.8515    	-5.22357    
0.045 	-8.74397    	-59.3125    	-540.271    	-443.869    	-6.57237    	-66.452     	-44.9001    	-46.4151    	-41.576     	-4.59966    	-428.491    	-38.0929    	-272.177    	-547.995    	-21.2175    	-5.42348    	-43.9319    	-13.3139    	-6.13588    	-36.2617    	-42.0476    	-241.952    	-300.691    	-56.6538    	-1558.4     	-247.568    	-292.947    	-48.9492    	-48.2169    	-7.45472    	-431.045    	-36.0517    	-6.20799    	-348.165    	-436.686    	-24.4619    	-61.4311    	-54.6153    	-48.2838    	-1935.03    	-433.956    	-36.8057    	-47.9408    	-280.07     	-8.15115    	-43.0658    	-48.8517    	-43.6924    	-467.001    	-6.19309    	-65.1534    	-33.9907    	-289.858    	-7.97348    	-8.94016    	-34.8454    	-5.84758    	-3.15886    	-54.0185    	-5.95851    	-54.3283    	-53.5881    	-38.3524    	-281.965    	-5.29801    	-388.495    	-25.3588    	-42.6539    	-6.93248    	-37.0012    	-68.9475    	-9.874      
0.055 	-9.17694    	-61.6197    	-547.969    	-451.623    	-7.14216    	-68.1076    	-48.1349    	-50.5674    	-44.9634    	-5.29486    	-437.747    	-41.4859    	-286.919    	-548.52     	-25.9738    	-6.03716    	-47.2012    	-18.5948    	-6.748      	-39.9531    	-45.206     	-263.274    	-318.022    	-59.087     	-1655.05    	-263.43     	-309.74     	-51.8779    	-51.1553    	-8.00459    	-446.289    	-39.7808    	-6.80793    	-359.355    	-445.616    	-28.811     	-63.4969    	-57.3625    	-51.3533    	-2016.93    	-440.883    	-40.3516    	-50.9312    	-298.39     	-8.62598    	-46.1499    	-51.8168    	-48.0655    	-473.231    	-6.78244    	-67.9902    	-37.9065    	-307.051    	-8.44562    	-9.39089    	-38.6074    	-6.43481    	-3.9725     	-56.2889    	-6.53175    	-56.802     	-56.1252    	-41.8721    	-297.462    	-5.91999    	-399.872    	-29.622     	-46.1179    	-7.48062    	-40.5097    	-71.5098    	-15.5088    
0.065 	-9.67712    	-64.3031    	-557.091    	-460.768    	-7.79752    	-70.0301    	-51.8729    	-55.3754    	-48.8611    	-6.09774    	-448.602    	-45.4025    	-303.899    	-549.247    	-31.4612    	-6.74646    	-50.9698    	-24.6831    	-7.4567     	-44.2323    	-48.8671    	-287.988    	-338.112    	-61.9192    	-1766.27    	-281.687    	-329.176    	-55.2543    	-54.5596    	-8.64088    	-464.065    	-44.0976    	-7.50091    	-372.199    	-456.08     	-33.8308    	-65.8956    	-60.5492    	-54.9077    	-2110.86    	-449.001    	-44.4508    	-54.3832    	-319.619    	-9.17367    	-49.7183    	-55.2425    	-53.1257    	-480.551    	-7.46276    	-71.2953    	-42.4373    	-326.986    	-8.98935    	-9.91396    	-42.9538    	-7.1116     	-4.91316    	-58.9248    	-7.19175    	-59.6649    	-59.0809    	-45.9465    	-315.245    	-6.63804    	-413.064    	-34.531     	-50.1259    	-8.11381    	-44.5586    	-74.5012    	-22.0157    
0.075 	-10.2346    	-67.319     	-567.571    	-471.216    	-8.52415    	-72.1859    	-56.0412    	-60.75      	-53.185     	-6.99245    	-460.926    	-49.7642    	-322.754    	-550.221    	-37.5684    	-7.53763    	-55.1598    	-31.4533    	-8.2488     	-49.0228    	-52.965     	-315.65     	-360.599    	-65.1051    	-1889.66    	-301.947    	-350.89     	-59.0086    	-58.3677    	-9.35161    	-484.107    	-48.9216    	-8.27329    	-386.401    	-467.944    	-39.4206    	-68.5859    	-64.1194    	-58.8811    	-2214.64    	-458.204    	-49.0243    	-58.2276    	-343.373    	-9.78301    	-53.7036    	-59.0615    	-58.7776    	-488.877    	-8.22041    	-75.0175    	-47.4975    	-349.307    	-9.59315    	-10.5003    	-47.7995    	-7.86382    	-5.96276    	-61.8809    	-7.9244     	-62.863     	-62.4093    	-50.4999    	-334.903    	-7.43779    	-427.832    	-39.9814    	-54.6023    	-8.8196     	-49.066     	-77.8782    	-29.266     
0.085 	-10.8386    	-70.6183    	-579.327    	-482.865    	-9.30627    	-74.5378    	-60.559     	-66.5926    	-57.8423    	-7.96143    	-474.564    	-54.4843    	-343.087    	-551.481    	-44.1728    	-8.39544    	-59.6849    	-38.7674    	-9.10973    	-54.2395    	-57.4266    	-345.767    	-385.082    	-68.5941    	-2022.57    	-323.774    	-374.479    	-63.0637    	-62.5106    	-10.1235    	-506.113    	-54.1637    	-9.10997    	-401.636    	-481.054    	-45.4691    	-71.5215    	-68.0107    	-63.2007    	-2325.87    	-468.371    	-53.9845    	-62.388     	-369.223    	-10.4416    	-58.0308    	-63.1993    	-64.9157    	-498.108    	-9.0403     	-79.0993    	-52.9925    	-373.621    	-10.2442    	-11.1397    	-53.0503    	-8.67591    	-7.10134    	-65.1061    	-8.71416    	-66.3365    	-66.0588    	-55.4479    	-355.985    	-8.30338    	-443.913    	-45.8585    	-59.4633    	-9.58416    	-53.9416    	-81.5918    	-37.1178    
0.095 	-11.4772    	-74.1476    	-592.263    	-495.596    	-10.127     	-77.0449    	-65.3396    	-72.7968    	-62.734     	-8.98587    	-489.348    	-59.4695    	-364.469    	-553.067    	-51.1432    	-9.30353    	-64.4527    	-46.4777    	-10.0238    	-59.7907    	-62.1727    	-377.809    	-411.126    	-72.3312    	-2162.16    	-346.703    	-399.505    	-67.3367    	-66.9138    	-10.9422    	-529.756    	-59.728     	-9.99475    	-417.554    	-495.242    	-51.8576    	-74.6522    	-72.1559    	-67.7875    	-2441.96    	-479.368    	-59.2371    	-66.7822    	-396.71     	-11.1361    	-62.6194    	-67.5757    	-71.4265    	-508.132    	-9.90624    	-83.4781    	-58.8204    	-399.499    	-10.929     	-11.8213    	-58.6049    	-9.53119    	-8.30751    	-68.5452    	-9.54439    	-70.0206    	-69.9733    	-60.7001    	-378.007    	-9.21775    	-461.019    	-52.0396    	-64.619     	-10.3926    	-59.0885    	-85.5882    	-45.4196    
