q      	cage        
0.005 	-40039.4    
0.015 	-40057.8    
0.025 	-40093.1    
0.035 	-40142      
0.045 	-40199.9    
0.055 	-40260.8    
0.065 	-40317.5    
0.075 	-40361.8    
0.085 	-40385      
0.095 	-40377.6    
0.105 	-40330      
0.115 	-40232.7    
0.125 	-40076.4    
0.135 	-39852.6    
0.145 	-39553.5    
0.155 	-39172.3    
0.165 	-38703.9    
0.175 	-38144.1    
0.185 	-37490.9    
0.195 	-36743.4    
0.205 	-35903      
0.215 	-34972.6    
0.225 	-33956.9    
0.235 	-32862.2    
0.245 	-31696.5    
0.255 	-30469      
0.265 	-29190.2    
0.275 	-27871.7    
0.285 	-26525.6    
0.295 	-25164.7    
0.305 	-23802.1    
0.315 	-22450.5    
0.325 	-21122.6    
0.335 	-19830.6    
0.345 	-18585.6    
0.355 	-17397.8    
0.365 	-16276.4    
0.375 	-15229      
0.385 	-14261.7    
0.395 	-13379.2    
0.405 	-12584.3    
0.415 	-11878.4    
0.425 	-11261.2    
0.435 	-10730.6    
0.445 	-10283.4    
0.455 	-9914.84    
0.465 	-9618.97    
0.475 	-9388.86    
0.485 	-9216.76    
0.495 	-9094.28    
0.505 	-9012.64    
0.515 	-8962.86    
0.525 	-8935.97    
0.535 	-8923.26    
0.545 	-8916.39    
0.555 	-8907.64    
0.565 	-8890.05    
0.575 	-8857.49    
0.585 	-8804.85    
0.595 	-8728.05    
0.605 	-8624.14    
0.615 	-8491.29    
0.625 	-8328.77    
0.635 	-8136.95    
0.645 	-7917.22    
0.655 	-7671.93    
0.665 	-7404.23    
0.675 	-7118.04    
0.685 	-6817.82    
0.695 	-6508.51    
0.705 	-6195.34    
0.715 	-5883.66    
0.725 	-5578.84    
0.735 	-5286.11    
0.745 	-5010.37    
0.755 	-4756.14    
0.765 	-4527.4     
0.775 	-4327.51    
0.785 	-4159.1     
0.795 	-4024.06    
0.805 	-3923.44    
0.815 	-3857.49    
0.825 	-3825.59    
0.835 	-3826.32    
0.845 	-3857.47    
0.855 	-3916.1     
0.865 	-3998.62    
0.875 	-4100.84    
0.885 	-4218.11    
0.895 	-4345.38    
0.905 	-4477.35    
0.915 	-4608.57    
0.925 	-4733.55    
0.935 	-4846.88    
0.945 	-4943.37    
0.955 	-5018.13    
0.965 	-5066.7     
0.975 	-5085.1     
0.985 	-5069.97    
0.995 	-5018.59    
1.005 	-4928.96    
1.015 	-4799.85    
1.025 	-4630.77    
1.035 	-4422.05    
1.045 	-4174.8     
