q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	H_100-C_14   	H_200-Br_23  	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-Br_23  	H_100-Br_23  	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_200-H_15   	H_200-Br_24  	C_100-H_22   	H_200-N_7    	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-Br_24  	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-Br_24  	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
0.005 	-8.90766    	-582.388    	-7.59952    	-62.2496    	-43.1343    	-32.0307    	-5.75828    	-348.358    	-48.507     	-385.915    	-460.069    	-17.306     	-43.438     	-6.56461    	-54.4076    	-44.2972    	-30.9758    	-7.08232    	-45.2355    	-80.318     	-470.313    	-50.9265    	-1926.38    	-284.083    	-439.015    	-51.4131    	-41.7113    	-223.067    	-49.7779    	-57.4746    	-7.28795    	-5.36546    	-275.639    	-32.5987    	-73.078     	-72.9153    	-50.82      	-403.98     	-59.5727    	-1542.35    	-471.46     	-372.459    	-50.6475    	-49.8337    	-80.2585    	-371.996    	-8.41589    	-65.3025    	-50.6375    	-550.276    	-6.34595    	-41.4497    	-638.049    	-8.19832    	-7.48263    	-43.5246    	-10.2264    	-8.88136    	-532.708    	-52.3947    	-8.7301     	-65.1818    	-62.1256    	-54.7731    	-199.586    	-7.81621    	-485.036    	-55.829     	-40.8188    	-7.19292    	-46.2       	-42.3685    
0.015 	-9.01019    	-582.677    	-7.71604    	-62.7623    	-43.9167    	-32.951     	-5.8805     	-351.464    	-49.219     	-387.973    	-462.098    	-18.3588    	-44.2222    	-6.70733    	-55.2669    	-45.0705    	-31.7879    	-7.22052    	-45.9259    	-80.5552    	-472.36     	-51.5057    	-1944.68    	-287.339    	-441.295    	-52.0553    	-42.4709    	-227.985    	-50.7118    	-58.0662    	-7.41475    	-5.50397    	-279.001    	-33.5786    	-73.6961    	-73.2503    	-51.5209    	-406.826    	-60.1343    	-1565.24    	-474.877    	-375.953    	-51.2735    	-50.5124    	-80.8101    	-375.397    	-8.52122    	-65.784     	-51.2583    	-550.788    	-6.46438    	-42.2081    	-637.468    	-8.31304    	-7.60929    	-44.3299    	-10.3003    	-8.99732    	-535.483    	-53.0755    	-8.82076    	-65.6972    	-62.5924    	-55.4234    	-203.935    	-7.93898    	-487.038    	-56.3443    	-41.5606    	-7.30955    	-46.9124    	-43.2092    
0.025 	-9.21311    	-583.257    	-7.94649    	-63.7777    	-45.4645    	-34.7707    	-6.12235    	-357.615    	-50.6284    	-392.042    	-466.122    	-20.4413    	-45.774     	-6.98979    	-56.9676    	-46.6007    	-33.3943    	-7.49395    	-47.2929    	-81.0256    	-476.417    	-52.6528    	-1980.85    	-293.777    	-445.811    	-53.3263    	-43.9739    	-237.721    	-52.5597    	-59.2375    	-7.66556    	-5.77805    	-285.651    	-35.5172    	-74.9203    	-73.914     	-52.9074    	-412.468    	-61.2469    	-1610.49    	-481.646    	-382.87     	-52.512     	-51.8554    	-81.9025    	-382.134    	-8.72966    	-66.7371    	-52.4864    	-551.811    	-6.69857    	-43.7081    	-636.331    	-8.53989    	-7.85982    	-45.9234    	-10.4465    	-9.22686    	-540.978    	-54.4234    	-9.00002    	-66.7177    	-63.5169    	-56.7111    	-212.532    	-8.18198    	-491.006    	-57.3637    	-43.0278    	-7.54029    	-48.3217    	-44.8731    
0.035 	-9.51224    	-584.131    	-8.28578    	-65.2763    	-47.7443    	-37.4488    	-6.47875    	-366.69     	-52.7063    	-398.026    	-472.07     	-23.5083    	-48.061     	-7.40611    	-59.474     	-48.8558    	-35.7602    	-7.89677    	-49.3096    	-81.7217    	-482.411    	-54.3458    	-2034.02    	-303.244    	-452.48     	-55.1999    	-46.1879    	-252.073    	-55.282     	-60.9648    	-8.03483    	-6.18191    	-295.442    	-38.3726    	-76.7272    	-74.8936    	-54.9492    	-420.805    	-62.8897    	-1677.05    	-491.639    	-393.073    	-54.3361    	-53.8345    	-83.5141    	-392.081    	-9.03681    	-68.1424    	-54.2951    	-553.343    	-7.04329    	-45.9167    	-634.685    	-8.87373    	-8.22871    	-48.2712    	-10.6616    	-9.56523    	-549.09     	-56.4113    	-9.26384    	-68.2236    	-64.8816    	-58.6108    	-225.181    	-8.54021    	-496.87     	-58.8651    	-45.1886    	-7.8801     	-50.3977    	-47.326     
0.045 	-9.90138    	-585.304    	-8.7264     	-67.2291    	-50.7065    	-40.9249    	-6.94218    	-378.513    	-55.4103    	-405.787    	-479.839    	-27.4929    	-51.0352    	-7.94762    	-62.7336    	-51.7884    	-38.8341    	-8.42038    	-51.9362    	-82.632     	-490.23     	-56.5518    	-2102.92    	-315.522    	-461.175    	-57.6375    	-49.0656    	-270.748    	-58.8207    	-63.2132    	-8.51441    	-6.70706    	-308.156    	-42.0832    	-79.082     	-76.1704    	-57.6016    	-431.691    	-65.0318    	-1763.39    	-504.667    	-406.356    	-56.7066    	-56.4078    	-85.6134    	-405.051    	-9.4362     	-69.9713    	-56.6451    	-555.379    	-7.4908     	-48.7854    	-632.6      	-9.30702    	-8.70783    	-51.3238    	-10.9411    	-10.0054    	-559.662    	-58.9994    	-9.60624    	-70.1856    	-66.6601    	-61.0849    	-241.592    	-9.00629    	-504.523    	-60.8159    	-47.9956    	-8.32164    	-53.0959    	-50.5174    
0.055 	-10.3725    	-586.782    	-9.25863    	-69.5984    	-54.2874    	-45.121     	-7.50292    	-392.852    	-58.6856    	-415.145    	-489.294    	-32.309     	-54.6344    	-8.60313    	-66.6786    	-55.3372    	-42.5497    	-9.05363    	-55.1209    	-83.7415    	-499.734    	-59.2282    	-2185.92    	-330.323    	-471.734    	-60.5889    	-52.5456    	-293.363    	-63.1006    	-65.9375    	-9.09376    	-7.34247    	-323.513    	-46.5695    	-81.9397    	-77.72      	-60.8071    	-444.935    	-67.6332    	-1867.53    	-520.483    	-422.455    	-59.5722    	-59.5213    	-88.1592    	-420.8      	-9.91945    	-72.1867    	-59.4855    	-557.912    	-8.03114    	-52.2513    	-630.164    	-9.83002    	-9.2867     	-55.0167    	-11.2787    	-10.5385    	-572.494    	-62.1361    	-10.0195    	-72.5654    	-68.8186    	-64.085     	-261.391    	-9.57069    	-513.83     	-63.1738    	-51.388     	-8.85535    	-56.3587    	-54.3818    
0.065 	-10.916     	-588.566    	-9.87077    	-72.3387    	-58.4101    	-49.9434    	-8.14925    	-409.429    	-62.4656    	-425.882    	-500.27     	-37.8529    	-58.7838    	-9.35913    	-71.227     	-59.4285    	-46.8268    	-9.78312    	-58.8012    	-85.0318    	-510.747    	-62.3234    	-2281.05    	-347.305    	-483.959    	-63.9936    	-56.554     	-319.459    	-68.0312    	-69.0831    	-9.76016    	-8.07486    	-341.173    	-51.7357    	-85.2457    	-79.5127    	-64.4959    	-460.301    	-70.6455    	-1987.09    	-538.79     	-441.05     	-62.8716    	-63.1099    	-91.1018    	-439.034    	-10.4764    	-74.7437    	-62.755     	-560.93     	-8.65228    	-56.2386    	-627.479    	-10.431     	-9.95267    	-59.2724    	-11.6669    	-11.1534    	-587.34     	-65.7589    	-10.4943    	-75.3171    	-71.3156    	-67.5522    	-284.125    	-10.2219    	-524.625    	-65.888     	-55.2922    	-9.46973    	-60.1165    	-58.8404    
0.075 	-11.5206    	-590.658    	-10.5494    	-75.3975    	-62.9865    	-55.2849    	-8.8677     	-427.92     	-66.6744    	-437.75     	-512.576    	-44.0058    	-63.3976    	-10.2002    	-76.2849    	-63.9775    	-51.5738    	-10.5935    	-62.9053    	-86.4814    	-523.069    	-65.7779    	-2386.06    	-366.073    	-497.621    	-67.7823    	-61.0061    	-348.507    	-73.509     	-72.5869    	-10.4991    	-8.889      	-360.748    	-57.4727    	-88.937     	-81.5141    	-68.5887    	-477.522    	-74.0126    	-2119.34    	-559.243    	-461.775    	-66.5342    	-67.099     	-94.3839    	-459.413    	-11.0956    	-77.5906    	-66.3834    	-564.416    	-9.34046    	-60.6609    	-624.657    	-11.0965    	-10.6913    	-64.0022    	-12.0973    	-11.8377    	-603.919    	-69.7964    	-11.0201    	-78.3876    	-74.1035    	-71.4188    	-309.28     	-10.9466    	-536.714    	-68.8999    	-59.6241    	-10.1516    	-64.2898    	-63.8027    
0.085 	-12.1741    	-593.05     	-11.2798    	-78.7164    	-67.9193    	-61.0279    	-9.64338    	-447.968    	-71.2276    	-450.472    	-525.998    	-50.6373    	-68.3812    	-11.1092    	-81.7487    	-68.8909    	-56.6896    	-11.4678    	-67.3535    	-88.0657    	-536.473    	-69.5256    	-2498.47    	-386.195    	-512.464    	-71.878     	-65.8084    	-379.924    	-79.4194    	-76.3793    	-11.2945    	-9.7681     	-381.808    	-63.6603    	-92.9439    	-83.6858    	-72.9975    	-496.294    	-77.6722    	-2261.28    	-581.462    	-484.223    	-70.4823    	-71.4059    	-97.9419    	-481.558    	-11.7639    	-80.6703    	-70.293     	-568.345    	-10.0805    	-65.4226    	-621.817    	-11.8118    	-11.4866    	-69.108     	-12.5603    	-12.5775    	-621.918    	-74.1692    	-11.5849    	-81.718     	-77.1289    	-75.6101    	-336.288    	-11.7304    	-549.885    	-72.145     	-64.2909    	-10.8864    	-68.7908    	-69.1688    
0.095 	-12.8633    	-595.733    	-12.0461    	-82.2322    	-73.1049    	-67.0469    	-10.4603    	-469.187    	-76.035     	-463.753    	-540.302    	-57.6081    	-73.6331    	-12.0679    	-87.5071    	-74.0687    	-62.0661    	-12.3879    	-72.0597    	-89.7575    	-550.714    	-73.4948    	-2615.66    	-407.207    	-528.211    	-76.1982    	-70.861     	-413.084    	-85.6403    	-80.3851    	-12.1292    	-10.6942    	-403.893    	-70.1703    	-97.1907    	-85.9859    	-77.6284    	-516.289    	-81.557     	-2409.7     	-605.032    	-507.961    	-74.6326    	-75.9424    	-101.707    	-505.061    	-12.4678    	-83.9209    	-74.4009    	-572.683    	-10.8562    	-70.4217    	-619.075    	-12.5612    	-12.3215    	-74.4849    	-13.0459    	-13.3581    	-640.998    	-78.7924    	-12.1764    	-85.2449    	-80.3342    	-80.0451    	-364.54     	-12.5574    	-563.902    	-75.5539    	-69.1935    	-11.6586    	-73.5253    	-74.8317    
