q      	cage        
0.005 	-10631.4    
0.015 	-10740.7    
0.025 	-10956.9    
0.035 	-11275.7    
0.045 	-11690.4    
0.055 	-12192.4    
0.065 	-12771.5    
0.075 	-13415.9    
0.085 	-14112.5    
0.095 	-14847.3    
0.105 	-15605.7    
0.115 	-16372.8    
0.125 	-17133.6    
0.135 	-17873.6    
0.145 	-18578.9    
0.155 	-19236.6    
0.165 	-19834.8    
0.175 	-20363.3    
0.185 	-20813.4    
0.195 	-21178.1    
0.205 	-21452.3    
0.215 	-21632.6    
0.225 	-21717.9    
0.235 	-21708.4    
0.245 	-21606.6    
0.255 	-21416.3    
0.265 	-21142.9    
0.275 	-20793      
0.285 	-20374.4    
0.295 	-19895.6    
0.305 	-19365.9    
0.315 	-18794.8    
0.325 	-18192      
0.335 	-17567.3    
0.345 	-16929.8    
0.355 	-16288.6    
0.365 	-15651.7    
0.375 	-15026.7    
0.385 	-14419.9    
0.395 	-13837.1    
0.405 	-13282.5    
0.415 	-12759.8    
0.425 	-12271.4    
0.435 	-11818.7    
0.445 	-11402.1    
0.455 	-11021.3    
0.465 	-10675.3    
0.475 	-10362.2    
0.485 	-10079.8    
0.495 	-9825.37    
0.505 	-9595.97    
0.515 	-9388.46    
0.525 	-9199.63    
0.535 	-9026.36    
0.545 	-8865.62    
0.555 	-8714.62    
0.565 	-8570.8     
0.575 	-8431.95    
0.585 	-8296.16    
0.595 	-8161.88    
0.605 	-8027.92    
0.615 	-7893.39    
0.625 	-7757.74    
0.635 	-7620.69    
0.645 	-7482.2     
0.655 	-7342.41    
0.665 	-7201.65    
0.675 	-7060.34    
0.685 	-6918.96    
0.695 	-6778.07    
0.705 	-6638.2     
0.715 	-6499.86    
0.725 	-6363.54    
0.735 	-6229.65    
0.745 	-6098.55    
0.755 	-5970.56    
0.765 	-5845.89    
0.775 	-5724.74    
0.785 	-5607.24    
0.795 	-5493.5     
0.805 	-5383.61    
0.815 	-5277.61    
0.825 	-5175.58    
0.835 	-5077.57    
0.845 	-4983.64    
0.855 	-4893.82    
0.865 	-4808.15    
0.875 	-4726.65    
0.885 	-4649.29    
0.895 	-4575.97    
0.905 	-4506.54    
0.915 	-4440.74    
0.925 	-4378.18    
0.935 	-4318.37    
0.945 	-4260.65    
0.955 	-4204.18    
0.965 	-4148       
0.975 	-4090.95    
0.985 	-4031.72    
0.995 	-3968.88    
1.005 	-3900.86    
1.015 	-3826       
1.025 	-3742.61    
1.035 	-3648.98    
1.045 	-3543.45    
1.055 	-3424.43    
1.065 	-3290.52    
1.075 	-3140.48    
1.085 	-2973.36    
1.095 	-2788.48    
1.105 	-2585.52    
1.115 	-2364.56    
1.125 	-2126.06    
1.135 	-1870.94    
1.145 	-1600.52    
1.155 	-1316.57    
1.165 	-1021.26    
1.175 	-717.159    
1.185 	-407.148    
1.195 	-94.4084    
1.205 	217.661     
1.215 	525.508     
1.225 	825.507     
1.235 	1114.04     
1.245 	1387.57     
1.255 	1642.75     
1.265 	1876.47     
1.275 	2085.95     
1.285 	2268.81     
1.295 	2423.12     
1.305 	2547.45     
1.315 	2640.91     
1.325 	2703.16     
1.335 	2734.42     
1.345 	2735.48     
1.355 	2707.63     
1.365 	2652.71     
1.375 	2572.98     
1.385 	2471.08     
1.395 	2350.01     
1.405 	2212.99     
1.415 	2063.43     
1.425 	1904.82     
1.435 	1740.64     
1.445 	1574.31     
1.455 	1409.08     
1.465 	1247.99     
1.475 	1093.75     
1.485 	948.78      
1.495 	815.068     
1.505 	694.207     
1.515 	587.351     
1.525 	495.214     
1.535 	418.076     
1.545 	355.805     
1.555 	307.882     
1.565 	273.445     
1.575 	251.334     
1.585 	240.142     
1.595 	238.278     
1.605 	244.024     
1.615 	255.594     
1.625 	271.199     
1.635 	289.099     
1.645 	307.656     
1.655 	325.38      
1.665 	340.965     
1.675 	353.321     
1.685 	361.597     
1.695 	365.186     
1.705 	363.734     
1.715 	357.135     
1.725 	345.513     
1.735 	329.203     
1.745 	308.724     
1.755 	284.75      
1.765 	258.067     
1.775 	229.544     
1.785 	200.089     
1.795 	170.611     
1.805 	141.988     
1.815 	115.033     
1.825 	90.461      
1.835 	68.8719     
1.845 	50.7282     
1.855 	36.3445     
1.865 	25.8815     
1.875 	19.3459     
1.885 	16.5969     
1.895 	17.3573     
1.905 	21.2298     
1.915 	27.7166     
1.925 	36.243      
1.935 	46.1816     
1.945 	56.8791     
1.955 	67.6817     
1.965 	77.9602     
1.975 	87.1333     
1.985 	94.6878     
1.995 	100.196     
2.005 	103.328     
2.015 	103.862     
2.025 	101.689     
2.035 	96.8096     
2.045 	89.3358     
2.055 	79.4776     
2.065 	67.5341     
2.075 	53.8782     
2.085 	38.9399     
2.095 	23.1877     
2.105 	7.10932     
2.115 	-8.8077     
2.125 	-24.095     
2.135 	-38.3205    
