q      	H_200-H_21   	C_100-C_4    	H_100-H_19   	H_200-C_13   	H_100-C_5    	C_100-H_19   	H_200-H_16   	C_100-C_3    	H_100-C_14   	H_200-Br_23  	C_100-C_13   	C_100-H_15   	H_100-C_1    	H_200-H_22   	H_100-N_7    	H_100-C_9    	C_100-H_16   	H_100-H_18   	H_200-C_2    	H_200-C_12   	C_100-C_5    	H_200-C_3    	C_100-Br_23  	H_100-Br_23  	C_100-C_10   	H_100-C_13   	H_100-C_2    	C_100-C_2    	H_100-N_8    	H_200-C_5    	H_100-H_17   	H_200-H_15   	H_200-Br_24  	C_100-H_22   	H_200-N_7    	H_200-C_11   	C_100-H_17   	C_100-C_1    	H_200-C_1    	C_100-Br_24  	C_100-N_7    	C_100-C_14   	H_100-C_12   	C_100-H_21   	H_200-N_8    	C_100-C_6    	H_100-H_21   	H_200-C_10   	H_100-C_11   	C_100-C_11   	H_100-H_16   	H_100-C_4    	C_100-C_12   	H_200-H_19   	H_200-H_17   	H_100-C_6    	H_200-H_20   	H_200-H_18   	C_100-N_8    	H_200-C_14   	H_100-H_20   	H_200-C_9    	H_200-C_4    	H_200-C_6    	H_100-Br_24  	H_100-H_22   	C_100-C_9    	C_100-H_20   	H_100-C_3    	H_100-H_15   	H_100-C_10   	C_100-H_18  
0.005 	-8.14477    	-333.873    	-5.73394    	-51.5805    	-30.1433    	-43.5276    	-5.89862    	-277.338    	-46.9123    	-348.245    	-390.278    	-20.1896    	-33.821     	-7.11405    	-45.9589    	-45.9768    	-28.0419    	-5.30784    	-42.5132    	-55.8019    	-172.191    	-39.0166    	-2070.55    	-246.145    	-365.435    	-47.4738    	-30.2102    	-265.741    	-46.9702    	-32.3878    	-4.23859    	-6.54951    	-209.704    	-35.465     	-69.8376    	-44.921     	-11.2682    	-382.914    	-48.1184    	-1094.11    	-474.248    	-325.668    	-48.3124    	-55.409     	-68.2035    	-171.953    	-8.6159     	-45.2758    	-45.9311    	-341.312    	-4.89461    	-27.3331    	-477.56     	-7.42684    	-4.30234    	-34.4565    	-6.49772    	-4.14553    	-501.321    	-48.4158    	-6.45253    	-58.7337    	-39.9542    	-33.9812    	-165.338    	-8.38677    	-452.565    	-35.4989    	-26.3724    	-4.91744    	-40.313     	-7.99628    
0.015 	-8.24439    	-336.248    	-5.84227    	-52.1287    	-30.8832    	-44.0797    	-5.99607    	-280.432    	-47.4927    	-350.328    	-392.56     	-21.0524    	-34.5318    	-7.22691    	-46.6978    	-46.5437    	-28.7481    	-5.43279    	-43.0833    	-56.2516    	-176.807    	-39.5955    	-2083.92    	-249.399    	-367.54     	-48.0425    	-30.9348    	-269.137    	-47.6957    	-33.0923    	-4.36949    	-6.64969    	-212.911    	-36.2472    	-70.2788    	-45.4723    	-12.2543    	-384.958    	-48.6442    	-1116.9     	-476.336    	-328.752    	-48.8368    	-55.935     	-68.6574    	-176.732    	-8.70237    	-45.8267    	-46.4614    	-343.761    	-5.00554    	-28.0831    	-478.441    	-7.51452    	-4.43292    	-35.1638    	-6.59597    	-4.28483    	-502.975    	-49.0027    	-6.54971    	-59.1401    	-40.5243    	-34.6911    	-169.142    	-8.47772    	-453.705    	-36.1567    	-27.1245    	-5.03533    	-40.9228    	-9.07088    
0.025 	-8.44139    	-340.953    	-6.05674    	-53.2135    	-32.3477    	-45.1733    	-6.18884    	-286.557    	-48.6422    	-354.445    	-397.08     	-22.7594    	-35.9394    	-7.45029    	-48.1614    	-47.667     	-30.145     	-5.68019    	-44.2123    	-57.1419    	-185.948    	-40.7415    	-2110.33    	-255.834    	-371.719    	-49.1684    	-32.3691    	-275.864    	-49.1328    	-34.4872    	-4.62854    	-6.84794    	-219.254    	-37.795     	-71.1539    	-46.5639    	-14.2054    	-389.014    	-49.6861    	-1161.96    	-480.479    	-334.862    	-49.875     	-56.9753    	-69.558     	-186.196    	-8.8735     	-46.918     	-47.5116    	-348.613    	-5.22497    	-29.5671    	-480.192    	-7.68817    	-4.69137    	-36.5643    	-6.7904     	-4.56066    	-506.263    	-50.1648    	-6.74199    	-59.9464    	-41.6531    	-36.0973    	-176.663    	-8.65787    	-455.978    	-37.458     	-28.6125    	-5.26866    	-42.1303    	-11.1979    
0.035 	-8.73135    	-347.897    	-6.37297    	-54.8126    	-34.5069    	-46.787     	-6.47276    	-295.589    	-50.3387    	-360.501    	-403.752    	-25.274     	-38.0158    	-7.77953    	-50.3215    	-49.3254    	-32.2016    	-6.04511    	-45.8777    	-58.4549    	-199.427    	-42.4313    	-2149.18    	-265.304    	-377.905    	-50.8288    	-34.4838    	-285.787    	-51.2539    	-36.5448    	-5.01026    	-7.1401     	-228.589    	-40.0762    	-72.4483    	-48.1743    	-17.0801    	-395.019    	-51.225     	-1228.24    	-486.614    	-343.885    	-51.4059    	-58.5068    	-70.8905    	-200.159    	-9.12569    	-48.5291    	-49.0605    	-355.779    	-5.54809    	-31.7532    	-482.791    	-7.94443    	-5.07225    	-38.6304    	-7.07689    	-4.96756    	-511.146    	-51.8792    	-7.02527    	-61.139     	-43.3181    	-38.1727    	-187.732    	-8.92372    	-459.366    	-39.3746    	-30.8048    	-5.61256    	-43.9118    	-14.3337    
0.045 	-9.10775    	-356.948    	-6.78454    	-56.8928    	-37.3165    	-48.8895    	-6.84167    	-307.344    	-52.5497    	-368.355    	-412.448    	-28.5423    	-40.7202    	-8.20782    	-53.1364    	-51.488     	-34.8725    	-6.52029    	-48.0469    	-60.1641    	-216.977    	-44.6307    	-2199.55    	-277.595    	-386.002    	-52.9906    	-37.2357    	-298.713    	-54.0184    	-39.224     	-5.50663    	-7.52004    	-240.709    	-43.0432    	-74.1403    	-50.2716    	-20.8174    	-402.879    	-53.233     	-1314.2     	-494.645    	-355.653    	-53.3986    	-60.4956    	-72.6333    	-218.349    	-9.45366    	-50.6297    	-51.0771    	-365.127    	-5.96782    	-34.5951    	-486.206    	-8.27836    	-5.56764    	-41.3218    	-7.4494     	-5.49747    	-517.566    	-54.1124    	-7.39351    	-62.6983    	-45.4859    	-40.8774    	-202.099    	-9.27014    	-463.846    	-41.8653    	-33.6548    	-6.0599     	-46.2322    	-18.4138    
0.055 	-9.56219    	-367.933    	-7.28314    	-59.4112    	-40.7192    	-51.4402    	-7.28762    	-321.587    	-55.2329    	-377.826    	-423.005    	-32.4944    	-43.9993    	-8.72634    	-56.5522    	-54.1142    	-38.0989    	-7.09631    	-50.6771    	-62.2354    	-238.245    	-47.2954    	-2260.27    	-292.43     	-395.882    	-55.6104    	-40.5689    	-314.387    	-57.3737    	-42.4718    	-6.10725    	-7.97984    	-255.343    	-46.6345    	-76.2018    	-52.8146    	-25.3383    	-412.472    	-55.6735    	-1417.85    	-504.45     	-369.948    	-55.8129    	-62.8979    	-74.7583    	-240.41     	-9.85055    	-53.1803    	-53.5214    	-376.485    	-6.47502    	-38.0324    	-490.392    	-8.68352    	-6.16723    	-44.5856    	-7.9001     	-6.13997    	-525.445    	-56.8204    	-7.8389     	-64.5986    	-48.1135    	-44.1599    	-219.443    	-9.69047    	-469.383    	-44.8765    	-37.1023    	-6.60142    	-49.0462    	-23.3551    
0.065 	-10.0846    	-380.644    	-7.85872    	-62.3162    	-44.646     	-54.3901    	-7.801      	-338.029    	-58.3372    	-388.695    	-435.222    	-37.0467    	-47.789     	-9.32445    	-60.5036    	-57.1554    	-41.8103    	-7.76184    	-53.7171    	-64.6272    	-262.81     	-50.3716    	-2329.94    	-309.476    	-407.392    	-58.6361    	-44.416     	-332.504    	-61.2562    	-46.2242    	-6.79961    	-8.50993    	-272.166    	-50.7759    	-78.5988    	-55.7534    	-30.5481    	-423.647    	-58.5022    	-1536.8     	-515.878    	-386.507    	-58.6002    	-65.661     	-77.2311    	-265.916    	-10.3081    	-56.1332    	-56.3447    	-389.646    	-7.05867    	-41.9926    	-495.297    	-9.15215    	-6.85861    	-48.3584    	-8.41956    	-6.8825     	-534.689    	-59.9506    	-8.35202    	-66.8086    	-51.1487    	-47.9576    	-239.374    	-10.1766    	-475.933    	-48.3438    	-41.0746    	-7.22595    	-52.299     	-29.0574    
0.075 	-10.6633    	-394.842    	-8.49975    	-65.5486    	-49.0179    	-57.6827    	-8.37082    	-356.344    	-61.804     	-400.711    	-448.869    	-42.1033    	-52.0158    	-9.98999    	-64.916     	-60.5553    	-45.9258    	-8.50386    	-57.1076    	-67.2921    	-290.188    	-53.7979    	-2406.92    	-328.35     	-420.352    	-62.0078    	-48.6997    	-352.715    	-65.5929    	-50.4076    	-7.56935    	-9.09936    	-290.805    	-55.383     	-81.2915    	-59.0307    	-36.338     	-436.233    	-61.6684    	-1668.34    	-528.755    	-405.027    	-61.7049    	-68.7246    	-80.012     	-294.378    	-10.8168    	-59.4336    	-59.4913    	-404.37     	-7.70614    	-46.3925    	-500.855    	-9.6753     	-7.62759    	-52.5673    	-8.99698    	-7.71063    	-545.184    	-63.4425    	-8.92205    	-69.2921    	-54.5316    	-52.199     	-261.45     	-10.7194    	-483.444    	-52.1936    	-45.4887    	-7.92069    	-55.9274    	-35.406     
0.085 	-11.2857    	-410.258    	-9.19349    	-69.0428    	-53.7474    	-61.2555    	-8.98495    	-376.168    	-65.5681    	-413.597    	-463.692    	-47.5585    	-56.5985    	-10.7095    	-69.7063    	-64.2516    	-50.3566    	-9.308      	-60.7834    	-70.1774    	-319.842    	-57.5061    	-2489.45    	-348.631    	-434.559    	-65.6592    	-53.3344    	-374.63     	-70.3026    	-54.9406    	-8.40066    	-9.73605    	-310.849    	-60.3625    	-84.2357    	-62.583     	-42.5885    	-450.034    	-65.1154    	-1809.47    	-542.885    	-425.174    	-65.0652    	-72.0223    	-83.0565    	-325.253    	-11.3661    	-63.0204    	-62.8995    	-420.39     	-8.40352    	-51.1408    	-506.993    	-10.2431    	-8.45847    	-57.1319    	-9.62041    	-8.60843    	-556.804    	-67.2292    	-9.53707    	-72.0085    	-58.196     	-56.8046    	-285.18     	-11.3085    	-491.851    	-56.3447    	-50.2529    	-8.67151    	-59.8618    	-42.2749    
0.095 	-11.9382    	-426.604    	-9.92623    	-72.7289    	-58.741     	-65.0411    	-9.63041    	-397.111    	-69.5596    	-427.058    	-479.415    	-53.2998    	-61.4496    	-11.4688    	-74.7853    	-68.1772    	-55.0078    	-10.1588    	-64.6741    	-73.2265    	-351.2      	-61.4231    	-2575.62    	-369.87     	-449.792    	-69.519     	-58.2288    	-397.833    	-75.2985    	-59.7359    	-9.2766     	-10.407     	-331.858    	-65.615     	-87.3833    	-66.3421    	-49.1718    	-464.839    	-68.7823    	-1957.01    	-558.054    	-446.585    	-68.6148    	-75.4834    	-86.3159    	-357.962    	-11.9448    	-66.8281    	-66.5028    	-437.417    	-9.13594    	-56.1394    	-513.626    	-10.8448    	-9.33448    	-61.9654    	-10.2771    	-9.55882    	-569.403    	-71.2388    	-10.1843    	-74.9137    	-62.0705    	-61.6891    	-310.044    	-11.9329    	-501.076    	-60.7105    	-55.2692    	-9.46324    	-64.0272    	-49.5289    
